gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,testis,72.9,MACROH2A1:VGNC:83608,variant,72.01833333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,testis,63.37,MACROH2A1:VGNC:83608,variant,72.01833333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ileocecal valve,90.5,MACROH2A1:VGNC:83608,variant,90.5
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,aorta,89.11,MACROH2A1:VGNC:83608,variant,89.11500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,aorta,89.12,MACROH2A1:VGNC:83608,variant,89.11500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,heart,87.97,MACROH2A1:VGNC:83608,variant,87.745
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,heart,88.11,MACROH2A1:VGNC:83608,variant,87.745
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,heart,87.64,MACROH2A1:VGNC:83608,variant,87.745
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,heart,87.26,MACROH2A1:VGNC:83608,variant,87.745
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,brain,90.67,MACROH2A1:VGNC:83608,variant,90.67
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,cerebral cortex,90.04,MACROH2A1:VGNC:83608,variant,89.815
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,cerebral cortex,89.59,MACROH2A1:VGNC:83608,variant,89.815
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,retina,94.39,MACROH2A1:VGNC:83608,variant,94.39
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pons,83.97,MACROH2A1:VGNC:83608,variant,84.87
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,pons,85.77,MACROH2A1:VGNC:83608,variant,84.87
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ovary,89.7,MACROH2A1:VGNC:83608,variant,88.88
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ovary,88.6,MACROH2A1:VGNC:83608,variant,88.88
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ovary,87.63,MACROH2A1:VGNC:83608,variant,88.88
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ovary,89.59,MACROH2A1:VGNC:83608,variant,88.88
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,uterus,92.25,MACROH2A1:VGNC:83608,variant,92.45333333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,uterus,92.59,MACROH2A1:VGNC:83608,variant,92.45333333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,uterus,92.52,MACROH2A1:VGNC:83608,variant,92.45333333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,vas deferens,92.69,MACROH2A1:VGNC:83608,variant,92.69
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,adipose tissue,89.24,MACROH2A1:VGNC:83608,variant,86.75
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,adipose tissue,84.47,MACROH2A1:VGNC:83608,variant,86.75
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,adipose tissue,87.74,MACROH2A1:VGNC:83608,variant,86.75
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,adipose tissue,84.24,MACROH2A1:VGNC:83608,variant,86.75
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,adipose tissue,85.62,MACROH2A1:VGNC:83608,variant,86.75
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,adipose tissue,89.19,MACROH2A1:VGNC:83608,variant,86.75
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,esophagus,94.02,MACROH2A1:VGNC:83608,variant,94.0
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,esophagus,93.98,MACROH2A1:VGNC:83608,variant,94.0
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,saliva-secreting gland,88.57,MACROH2A1:VGNC:83608,variant,88.60499999999999
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,saliva-secreting gland,88.64,MACROH2A1:VGNC:83608,variant,88.60499999999999
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,diaphragm,88.39,MACROH2A1:VGNC:83608,variant,88.39500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,diaphragm,88.4,MACROH2A1:VGNC:83608,variant,88.39500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,intercostal muscle,83.13,MACROH2A1:VGNC:83608,variant,83.13
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,skeletal muscle tissue,92.03,MACROH2A1:VGNC:83608,variant,89.985
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,skeletal muscle tissue,86.74,MACROH2A1:VGNC:83608,variant,89.985
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,skeletal muscle tissue,89.17,MACROH2A1:VGNC:83608,variant,89.985
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,skeletal muscle tissue,92.0,MACROH2A1:VGNC:83608,variant,89.985
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,caecum,92.22,MACROH2A1:VGNC:83608,variant,90.32666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,caecum,86.53,MACROH2A1:VGNC:83608,variant,90.32666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,caecum,92.23,MACROH2A1:VGNC:83608,variant,90.32666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,colon,91.08,MACROH2A1:VGNC:83608,variant,91.08
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ascending colon,89.75,MACROH2A1:VGNC:83608,variant,89.765
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,ascending colon,89.78,MACROH2A1:VGNC:83608,variant,89.765
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,descending colon,90.91,MACROH2A1:VGNC:83608,variant,89.79666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,descending colon,87.58,MACROH2A1:VGNC:83608,variant,89.79666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,descending colon,90.9,MACROH2A1:VGNC:83608,variant,89.79666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,cortex of kidney,93.43,MACROH2A1:VGNC:83608,variant,93.43
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,urinary bladder,89.12,MACROH2A1:VGNC:83608,variant,89.14500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,urinary bladder,89.17,MACROH2A1:VGNC:83608,variant,89.14500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,endometrium,91.48,MACROH2A1:VGNC:83608,variant,91.10333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,endometrium,91.4,MACROH2A1:VGNC:83608,variant,91.10333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,endometrium,87.25,MACROH2A1:VGNC:83608,variant,91.10333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,endometrium,91.98,MACROH2A1:VGNC:83608,variant,91.10333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,endometrium,90.95,MACROH2A1:VGNC:83608,variant,91.10333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,endometrium,93.56,MACROH2A1:VGNC:83608,variant,91.10333333333334
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,myometrium,91.95,MACROH2A1:VGNC:83608,variant,91.95
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,myometrium,91.95,MACROH2A1:VGNC:83608,variant,91.95
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,gluteus medius,85.03,MACROH2A1:VGNC:83608,variant,85.05
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,gluteus medius,85.07,MACROH2A1:VGNC:83608,variant,85.05
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,biceps femoris,88.08,MACROH2A1:VGNC:83608,variant,88.08500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,biceps femoris,88.09,MACROH2A1:VGNC:83608,variant,88.08500000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,semitendinosus,87.82,MACROH2A1:VGNC:83608,variant,87.27999999999999
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,semitendinosus,86.16,MACROH2A1:VGNC:83608,variant,87.27999999999999
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,semitendinosus,87.86,MACROH2A1:VGNC:83608,variant,87.27999999999999
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,rectus femoris,82.57,MACROH2A1:VGNC:83608,variant,82.595
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,rectus femoris,82.62,MACROH2A1:VGNC:83608,variant,82.595
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,semimembranosus muscle,84.9,MACROH2A1:VGNC:83608,variant,85.01666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,semimembranosus muscle,84.85,MACROH2A1:VGNC:83608,variant,85.01666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,semimembranosus muscle,85.3,MACROH2A1:VGNC:83608,variant,85.01666666666667
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,81.24,MACROH2A1:VGNC:83608,variant,86.696
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,86.9,MACROH2A1:VGNC:83608,variant,86.696
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,87.65,MACROH2A1:VGNC:83608,variant,86.696
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,86.41,MACROH2A1:VGNC:83608,variant,86.696
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,86.11,MACROH2A1:VGNC:83608,variant,86.696
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,86.45,MACROH2A1:VGNC:83608,variant,86.696
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,87.39,MACROH2A1:VGNC:83608,variant,86.696
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus thoracis muscle,86.3,MACROH2A1:VGNC:83608,variant,86.696
