tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
left coronary artery,,,,,96.30666666666667,,,
left lobe of thyroid gland,,,,,96.60363636363635,,,
left ovary,,,,,95.60600000000001,,,
left testis,,,,,91.625,,,
left uterine tube,,,,,97.46000000000001,,,
left ventricle myocardium,,,,,83.5025,,,
longissimus lumborum muscle,,,,,,,,91.17
longissimus muscle,84.66000000000001,,,,,,,
lower esophagus,,,,,96.57499999999999,,,
lower esophagus mucosa,,,,,98.33,,,
lower esophagus muscularis layer,,,,,96.75818181818181,,,
lower lobe of lung,,,,,98.815,,,
male germ cell,,,,,91.28,,,
male germ line stem cell (sensu Vertebrata) in testis,,,,,85.89,,,
mammalian vulva,,,,,98.612,,,
mammary duct,,,,,98.21,,,
mammary gland fat,88.93,,,,,,,
medial globus pallidus,,,,,91.94333333333334,,,
metanephric glomerulus,,,,,91.88444444444445,,,
metanephros,,,,,90.6725,,,
middle frontal gyrus,,,,,94.04,,,
middle temporal gyrus,,,,,97.662,,,
milk,81.34,,,,,,,
minor salivary gland,,,,,97.449,,,
mitral valve,,91.22,,,,,,
mononuclear cell,,,,,98.975,,,
mouth mucosa,,,,,97.71,,,
mucosa of paranasal sinus,,,,,98.18,,,
mucosa of sigmoid colon,,,,,98.82,,,
mucosa of stomach,,,,,96.62,,,
mucosa of transverse colon,,,,,98.27,,,
muscle layer of sigmoid colon,,,,,96.75272727272727,,,
muscle of leg,,,,,96.41,,,
muscle organ,,,,,91.26,,,
myocardium,,,,,92.5425,,,
nasal cavity epithelium,,,,,97.63,,,
nasopharynx,91.33,,,,,,,
neocortex,,,,,97.66,,,
nephron tubule,,,,,93.72749999999999,,,
nerve,,,,,96.05,,,
neurohypophysis,92.95,,,,,,,
neutrophil,91.27,,,,,,,
nipple,,,,,98.14666666666666,,,
nose,,95.92,,,,,,
nucleus accumbens,,,,,96.36142857142856,,,
omasum,93.5,,,,,,,
omentum,,,,,,,,89.14
oral cavity,,,,,98.66666666666667,,,
orbitofrontal cortex,,,,,94.41000000000001,,,
palpebral conjunctiva,,,,,98.90666666666668,,,
pancreatic ductal cell,,,,,97.18,,,
paraflocculus,,,,,96.89500000000001,,,
parenchyma of mammary gland,91.24,,,,,,,
parietal lobe,,,,,96.21999999999998,,,
parietal pleura,,,,,97.51,,,
parotid gland,,,,,95.175,,,
pericardium,,,,,97.49,,,
periodontal ligament,,,,,95.39,,,
peripheral nervous system,,,,,96.03,,,
peritoneum,,,,,97.03,,,
pharyngeal mucosa,,,,,99.11666666666667,,,
pharyngeal tonsil,91.35,,,,,,,
pigment epithelium of eye,87.025,,,,,,,
pigmented layer of retina,,,,,97.2575,,,
pleura,,,,,97.69,,,
popliteal artery,,,,,95.95,,,
postcentral gyrus,,,,,96.91266666666667,,,
primordial germ cell in gonad,,,,,90.41,,,
psoas major muscle,,,,,,,,95.475
putamen,,,,,96.22125,,,
pylorus,,,,,98.38333333333333,,,
quadriceps femoris,,,,,89.997,,,
rectum,,,,,98.38,,,
rectus femoris,82.595,,,,,,,
renal glomerulus,,,,,93.35,,,
retropharyngeal lymph node,89.65,,,,,,,
right adrenal gland,,,,,96.232,,,
right adrenal gland cortex,,,,,96.43333333333334,,,
right atrium auricular region,,,,,97.3509090909091,,,
right cardiac atrium,,87.34,,,,,,
right coronary artery,,,,,96.1,,,
right frontal lobe,,,,,95.52444444444444,,,
right hemisphere of cerebellum,,,,,97.02888888888889,,,
right lobe of thyroid gland,,,,,96.45375,,,
right lung,,,,,97.945,,,
right ovary,,,,,96.16,,,
right testis,,,,,92.772,,,
right uterine tube,,,,,96.39,,,
rumen,93.442,,,,,,,
rumen epithelium,92.2,,,,,,,
rumen papilla,94.18333333333334,,,,,,,
ruminant reticulum,95.37,,,,,,,
saphenous vein,,,,,95.69333333333333,,,
scapular muscle,83.97,,,,,,,
secondary oocyte,,,,,82.04,,,
semen,82.25,,,,,,,
seminal vesicle,,,,,96.27,,,
semitendinosus,87.27999999999999,,,,,,,
sigmoid colon,,,,,96.83,,,
skeletal muscle organ,,,,,95.68,,,
skeletal muscle tissue of biceps brachii,,,,,95.15,,,
skeletal muscle tissue of rectus abdominis,,,,,96.33000000000001,,,
skin of abdomen,,,,,97.65,,,
skin of hip,,,,,98.17,,,
skin of leg,,,,,97.55916666666667,,,
small intestine Peyer's patch,,,,,97.88636363636364,,,
sperm,,,,,91.26,,,
spiral colon,86.13,,,,,,,
squamous epithelium,,,,,98.83999999999999,,,
stromal cell of endometrium,,,,,97.91,,,
substantia nigra,,,,,94.92956521739131,,,
substantia nigra pars compacta,,,,,98.33000000000001,,,
substantia nigra pars reticulata,,,,,98.18,,,
subthalamic nucleus,,,,,96.7975,,,
superficial temporal artery,,,,,96.18,,,
superior surface of tongue,,,,,98.42666666666666,,,
superior vestibular nucleus,,,,,97.202,,,
supraspinatus muscle,86.585,,,,,,,
sural nerve,,,,,94.93,,,
surface of tongue,93.11500000000001,,,,,,,
synovial joint,,,,,97.77,,,
synovial membrane of synovial joint,,,94.69,,,,,
telencephalon,,,,,96.03,,,
temporal cortex,89.42,,,,,,,
tendon,,,,,90.44800000000001,,,
tendon of biceps brachii,,,,,86.83,,,
theca cell,89.79,,,,,,,
thoracic aorta,,,,,95.62,,,
thoracic mammary gland,,,,,96.82,,,
tibia,,,,,98.33,,,
tibial artery,,,,,96.11272727272727,,,
tibial nerve,,,,,96.10272727272726,,,
tip of external ear,,,,95.46,,,,
tongue muscle,88.84,,,,,,,
tongue squamous epithelium,,,,,99.23,,,
trabecular bone tissue,,,,,99.105,,,
transverse colon,,,,,97.711,,,
trigeminal ganglion,,,,,96.23166666666667,,,
trophectoderm,,,82.655,,,,,
trophoblast,,,95.7,,,,,
type B pancreatic cell,,,,,97.67,,,
upper arm skin,,,,,86.8025,,,
upper leg skin,,,,,98.42,,,
upper lobe of left lung,,,,,97.865,,,
upper lobe of lung,,,,,98.7325,,,
ureter,91.67,,,,,,,
uterine horn,92.06,,,,,,,
uterine tube infundibulum,93.39,,,,,,,
vagina,,,,,98.73916666666666,,,
vas deferens,92.69,,,,,,,
vastus lateralis,,,,,93.76863636363636,,,
vena cava,,,,,95.47,,,
ventral tegmental area,,,,,97.02,,,
ventricular zone,,,,,98.815,,,
vermiform appendix,,,,,98.36500000000001,,,
visceral pleura,,,,,98.0175,,,
