Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSBTAG00000001163	MACROH2A2	cerebellum	present	gold quality	70.7
ENSBTAG00000001163	MACROH2A2	cerebellum	present	gold quality	81.22
ENSBTAG00000001163	MACROH2A2	thyroid gland	present	gold quality	73.92
ENSBTAG00000001163	MACROH2A2	thyroid gland	present	gold quality	59.9
ENSBTAG00000001163	MACROH2A2	lung	present	gold quality	54.0
ENSBTAG00000001163	MACROH2A2	lung	present	gold quality	47.11
ENSBTAG00000001163	MACROH2A2	lung	present	gold quality	48.07
ENSBTAG00000001163	MACROH2A2	lung	present	gold quality	49.93
ENSBTAG00000001163	MACROH2A2	lung	present	gold quality	51.84
ENSBTAG00000001163	MACROH2A2	lung	present	gold quality	48.77
ENSBTAG00000001163	MACROH2A2	lung	present	gold quality	50.2
ENSBTAG00000001163	MACROH2A2	cardiac atrium	present	gold quality	68.22
ENSBTAG00000001163	MACROH2A2	cardiac atrium	present	gold quality	68.16
ENSBTAG00000001163	MACROH2A2	cardiac ventricle	present	gold quality	57.88
ENSBTAG00000001163	MACROH2A2	spleen	present	gold quality	49.83
ENSBTAG00000001163	MACROH2A2	spleen	present	gold quality	50.18
ENSBTAG00000001163	MACROH2A2	spleen	present	gold quality	53.8
ENSBTAG00000001163	MACROH2A2	spleen	present	gold quality	46.49
ENSBTAG00000001163	MACROH2A2	spleen	present	gold quality	49.94
ENSBTAG00000001163	MACROH2A2	liver	present	gold quality	46.63
ENSBTAG00000001163	MACROH2A2	liver	present	gold quality	47.83
ENSBTAG00000001163	MACROH2A2	liver	present	gold quality	50.59
ENSBTAG00000001163	MACROH2A2	liver	present	gold quality	46.96
ENSBTAG00000001163	MACROH2A2	liver	present	gold quality	43.93
ENSBTAG00000001163	MACROH2A2	gall bladder	present	gold quality	67.88
ENSBTAG00000001163	MACROH2A2	gall bladder	present	gold quality	73.71
ENSBTAG00000001163	MACROH2A2	kidney	present	gold quality	50.04
ENSBTAG00000001163	MACROH2A2	duodenum	present	gold quality	55.78
ENSBTAG00000001163	MACROH2A2	duodenum	present	gold quality	50.08
ENSBTAG00000001163	MACROH2A2	duodenum	present	gold quality	51.83
ENSBTAG00000001163	MACROH2A2	duodenum	present	gold quality	55.78
ENSBTAG00000001163	MACROH2A2	jejunum	present	gold quality	53.32
ENSBTAG00000001163	MACROH2A2	jejunum	present	gold quality	50.19
ENSBTAG00000001163	MACROH2A2	jejunum	present	gold quality	51.51
ENSBTAG00000001163	MACROH2A2	jejunum	present	gold quality	60.02
ENSBTAG00000001163	MACROH2A2	ileum	present	gold quality	56.38
ENSBTAG00000001163	MACROH2A2	ileum	present	gold quality	63.24
ENSBTAG00000001163	MACROH2A2	ileum	present	gold quality	39.74
ENSBTAG00000001163	MACROH2A2	ileum	present	gold quality	45.07
ENSBTAG00000001163	MACROH2A2	ileum	present	gold quality	60.99
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	57.37
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	60.85
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	60.78
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	61.78
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	60.87
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	47.93
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	58.03
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	59.4
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	50.13
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	48.24
ENSBTAG00000001163	MACROH2A2	subcutaneous adipose tissue	present	gold quality	55.34
ENSBTAG00000001163	MACROH2A2	adenohypophysis	present	gold quality	83.99
ENSBTAG00000001163	MACROH2A2	adenohypophysis	present	gold quality	84.02
ENSBTAG00000001163	MACROH2A2	neurohypophysis	present	gold quality	84.93
ENSBTAG00000001163	MACROH2A2	neurohypophysis	present	gold quality	84.92
ENSBTAG00000001163	MACROH2A2	uterine horn	present	gold quality	78.8
ENSBTAG00000001163	MACROH2A2	prostate gland	present	gold quality	68.23
ENSBTAG00000001163	MACROH2A2	adrenal gland	present	gold quality	51.99
ENSBTAG00000001163	MACROH2A2	adrenal gland	present	gold quality	51.98
ENSBTAG00000001163	MACROH2A2	adrenal gland	present	gold quality	79.87
ENSBTAG00000001163	MACROH2A2	thymus	present	gold quality	72.1
ENSBTAG00000001163	MACROH2A2	bone marrow	present	gold quality	65.76
ENSBTAG00000001163	MACROH2A2	bone marrow	present	gold quality	65.77
ENSBTAG00000001163	MACROH2A2	supraspinatus muscle	present	gold quality	54.65
ENSBTAG00000001163	MACROH2A2	supraspinatus muscle	present	gold quality	54.61
ENSBTAG00000001163	MACROH2A2	muscle tissue	present	gold quality	54.0
ENSBTAG00000001163	MACROH2A2	muscle tissue	present	gold quality	52.51
ENSBTAG00000001163	MACROH2A2	muscle tissue	present	gold quality	46.05
ENSBTAG00000001163	MACROH2A2	muscle tissue	present	gold quality	57.42
ENSBTAG00000001163	MACROH2A2	muscle tissue	present	gold quality	47.64
ENSBTAG00000001163	MACROH2A2	abdominal lymph node	present	gold quality	46.85
ENSBTAG00000001163	MACROH2A2	mesenteric lymph node	present	gold quality	51.84
ENSBTAG00000001163	MACROH2A2	mesenteric lymph node	present	gold quality	51.85
ENSBTAG00000001163	MACROH2A2	corpus luteum	present	gold quality	59.1
ENSBTAG00000001163	MACROH2A2	corpus luteum	present	gold quality	59.12
ENSBTAG00000001163	MACROH2A2	trachea	present	gold quality	54.21
ENSBTAG00000001163	MACROH2A2	trachea	present	gold quality	54.18
ENSBTAG00000001163	MACROH2A2	floor plate of diencephalon	present	gold quality	85.63
ENSBTAG00000001163	MACROH2A2	uterine tube infundibulum	present	gold quality	83.78
ENSBTAG00000001163	MACROH2A2	uterine tube infundibulum	present	gold quality	92.18
ENSBTAG00000001163	MACROH2A2	mammary gland fat	present	gold quality	73.52
ENSBTAG00000001163	MACROH2A2	caput epididymis	present	gold quality	77.54
ENSBTAG00000001163	MACROH2A2	corpus epididymis	present	gold quality	79.02
ENSBTAG00000001163	MACROH2A2	dorsal thalamus	present	gold quality	79.38
ENSBTAG00000001163	MACROH2A2	conceptus	present	gold quality	56.06
ENSBTAG00000001163	MACROH2A2	oviduct epithelium	present	gold quality	79.51
ENSBTAG00000001163	MACROH2A2	olfactory segment of nasal mucosa	present	gold quality	75.6
