gene_order	gene_number	tissue_order	tissue_letter	canonical_gene_name	ensembl_gene_id	hpa_gene_label	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	nTPM
5	5	27	AA	H2AC8	ENSG00000277075	H2AC8	urinary bladder	urinary bladder	urinary bladder	exact	False	2.2
5	5	28	AB	H2AC8	ENSG00000277075	H2AC8	vagina	vagina	vagina	exact	False	16.9
5	5	29	AC	H2AC8	ENSG00000277075	H2AC8	mammary gland	breast	mammary gland	safe_synonym	True	3.5
5	5	30	AD	H2AC8	ENSG00000277075	H2AC8	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	2.2
5	5	31	AE	H2AC8	ENSG00000277075	H2AC8	uterine cervix	cervix	uterine cervix	safe_synonym	True	14.3
5	5	32	AF	H2AC8	ENSG00000277075	H2AC8	myocardium	heart muscle	myocardium	safe_synonym	True	4.0
5	5	33	AG	H2AC8	ENSG00000277075	H2AC8	prostate gland	prostate	prostate gland	safe_synonym	True	31.9
5	5	34	AH	H2AC8	ENSG00000277075	H2AC8	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	4.6
5	5	35	AI	H2AC8	ENSG00000277075	H2AC8	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.2
6	6	1	A	H2AC11	ENSG00000196787	H2AC11	adipose tissue	adipose tissue	adipose tissue	exact	False	0.2
6	6	2	B	H2AC11	ENSG00000196787	H2AC11	adrenal gland	adrenal gland	adrenal gland	exact	False	0.2
6	6	3	C	H2AC11	ENSG00000196787	H2AC11	amygdala	amygdala	amygdala	exact	False	0.1
6	6	4	D	H2AC11	ENSG00000196787	H2AC11	cerebellum	cerebellum	cerebellum	exact	False	0.0
6	6	5	E	H2AC11	ENSG00000196787	H2AC11	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.1
6	6	6	F	H2AC11	ENSG00000196787	H2AC11	colon	colon	colon	exact	False	0.6
6	6	7	G	H2AC11	ENSG00000196787	H2AC11	endometrium	endometrium	endometrium	exact	False	0.1
6	6	8	H	H2AC11	ENSG00000196787	H2AC11	esophagus	esophagus	esophagus	exact	False	0.6
6	6	9	I	H2AC11	ENSG00000196787	H2AC11	fallopian tube	fallopian tube	fallopian tube	exact	False	0.1
6	6	10	J	H2AC11	ENSG00000196787	H2AC11	hypothalamus	hypothalamus	hypothalamus	exact	False	0.3
6	6	11	K	H2AC11	ENSG00000196787	H2AC11	kidney	kidney	kidney	exact	False	0.2
6	6	12	L	H2AC11	ENSG00000196787	H2AC11	liver	liver	liver	exact	False	0.5
6	6	13	M	H2AC11	ENSG00000196787	H2AC11	lung	lung	lung	exact	False	0.3
6	6	14	N	H2AC11	ENSG00000196787	H2AC11	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.1
6	6	15	O	H2AC11	ENSG00000196787	H2AC11	ovary	ovary	ovary	exact	False	0.1
6	6	16	P	H2AC11	ENSG00000196787	H2AC11	pancreas	pancreas	pancreas	exact	False	0.1
6	6	17	Q	H2AC11	ENSG00000196787	H2AC11	pituitary gland	pituitary gland	pituitary gland	exact	False	0.1
6	6	18	R	H2AC11	ENSG00000196787	H2AC11	putamen	putamen	putamen	exact	False	0.1
6	6	19	S	H2AC11	ENSG00000196787	H2AC11	retina	retina	retina	exact	False	0.1
6	6	20	T	H2AC11	ENSG00000196787	H2AC11	small intestine	small intestine	small intestine	exact	False	0.5
6	6	21	U	H2AC11	ENSG00000196787	H2AC11	spinal cord	spinal cord	spinal cord	exact	False	0.5
6	6	22	V	H2AC11	ENSG00000196787	H2AC11	spleen	spleen	spleen	exact	False	0.8
6	6	23	W	H2AC11	ENSG00000196787	H2AC11	stomach	stomach	stomach	exact	False	0.3
6	6	24	X	H2AC11	ENSG00000196787	H2AC11	substantia nigra	substantia nigra	substantia nigra	exact	False	0.5
6	6	25	Y	H2AC11	ENSG00000196787	H2AC11	testis	testis	testis	exact	False	3.1
6	6	26	Z	H2AC11	ENSG00000196787	H2AC11	thyroid gland	thyroid gland	thyroid gland	exact	False	0.2
6	6	27	AA	H2AC11	ENSG00000196787	H2AC11	urinary bladder	urinary bladder	urinary bladder	exact	False	0.1
6	6	28	AB	H2AC11	ENSG00000196787	H2AC11	vagina	vagina	vagina	exact	False	0.4
6	6	29	AC	H2AC11	ENSG00000196787	H2AC11	mammary gland	breast	mammary gland	safe_synonym	True	0.1
6	6	30	AD	H2AC11	ENSG00000196787	H2AC11	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	0.1
6	6	31	AE	H2AC11	ENSG00000196787	H2AC11	uterine cervix	cervix	uterine cervix	safe_synonym	True	0.3
6	6	32	AF	H2AC11	ENSG00000196787	H2AC11	myocardium	heart muscle	myocardium	safe_synonym	True	0.2
6	6	33	AG	H2AC11	ENSG00000196787	H2AC11	prostate gland	prostate	prostate gland	safe_synonym	True	0.6
6	6	34	AH	H2AC11	ENSG00000196787	H2AC11	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.1
6	6	35	AI	H2AC11	ENSG00000196787	H2AC11	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.1
7	7	1	A	H2AC12	ENSG00000274997	H2AC12	adipose tissue	adipose tissue	adipose tissue	exact	False	0.2
7	7	2	B	H2AC12	ENSG00000274997	H2AC12	adrenal gland	adrenal gland	adrenal gland	exact	False	0.0
7	7	3	C	H2AC12	ENSG00000274997	H2AC12	amygdala	amygdala	amygdala	exact	False	0.1
7	7	4	D	H2AC12	ENSG00000274997	H2AC12	cerebellum	cerebellum	cerebellum	exact	False	0.0
7	7	5	E	H2AC12	ENSG00000274997	H2AC12	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.0
7	7	6	F	H2AC12	ENSG00000274997	H2AC12	colon	colon	colon	exact	False	0.7
7	7	7	G	H2AC12	ENSG00000274997	H2AC12	endometrium	endometrium	endometrium	exact	False	0.0
7	7	8	H	H2AC12	ENSG00000274997	H2AC12	esophagus	esophagus	esophagus	exact	False	0.2
7	7	9	I	H2AC12	ENSG00000274997	H2AC12	fallopian tube	fallopian tube	fallopian tube	exact	False	0.1
7	7	10	J	H2AC12	ENSG00000274997	H2AC12	hypothalamus	hypothalamus	hypothalamus	exact	False	0.0
7	7	11	K	H2AC12	ENSG00000274997	H2AC12	kidney	kidney	kidney	exact	False	0.0
7	7	12	L	H2AC12	ENSG00000274997	H2AC12	liver	liver	liver	exact	False	0.1
7	7	13	M	H2AC12	ENSG00000274997	H2AC12	lung	lung	lung	exact	False	0.2
7	7	14	N	H2AC12	ENSG00000274997	H2AC12	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0
7	7	15	O	H2AC12	ENSG00000274997	H2AC12	ovary	ovary	ovary	exact	False	0.1
7	7	16	P	H2AC12	ENSG00000274997	H2AC12	pancreas	pancreas	pancreas	exact	False	0.1
7	7	17	Q	H2AC12	ENSG00000274997	H2AC12	pituitary gland	pituitary gland	pituitary gland	exact	False	0.0
7	7	18	R	H2AC12	ENSG00000274997	H2AC12	putamen	putamen	putamen	exact	False	0.0
7	7	19	S	H2AC12	ENSG00000274997	H2AC12	retina	retina	retina	exact	False	0.0
7	7	20	T	H2AC12	ENSG00000274997	H2AC12	small intestine	small intestine	small intestine	exact	False	2.0
7	7	21	U	H2AC12	ENSG00000274997	H2AC12	spinal cord	spinal cord	spinal cord	exact	False	0.4
7	7	22	V	H2AC12	ENSG00000274997	H2AC12	spleen	spleen	spleen	exact	False	0.6
