tissue,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,sus_scrofa
lower esophagus mucosa,,,,65.8,,
lower esophagus muscularis layer,,,,32.82,,
male germ line stem cell (sensu Vertebrata) in testis,,,,82.2,,
mammary gland,36.83,,,,,
material anatomical entity,,,,,,38.105
mesenteric lymph node,,,,,,93.155
minor salivary gland,,,,41.3825,,
monocyte,,,,77.8,,
mucosa of transverse colon,,,,68.92,,
mucosa of urinary bladder,44.67,,,,,
muscle layer of sigmoid colon,,,,35.75666666666667,,
muscle of leg,,,,40.525000000000006,,
nose,38.42,,,,,
nucleus accumbens,,,,36.4025,,
occipital cortex,51.32,,,,,
occipital lobe,75.05,,,,,
olfactory bulb,40.18,,,,,
omental fat pad,,,,39.98636363636364,,
omentum,,,,,,70.32
oviduct epithelium,,79.26,,,,
penis,,,,,,85.31
placenta,,,,57.43,,
popliteal artery,,,,28.48,,
primary visual cortex,,,,43.74,,
primordial germ cell in gonad,,,,89.77,,
prostate gland,,,,48.11222222222222,,
putamen,,,,52.33,,
rectum,,,,53.34,,
right adrenal gland,,,,53.291999999999994,,
right adrenal gland cortex,,,,51.31666666666666,,
right atrium auricular region,,,,45.288,,
right cardiac atrium,54.12,,,,,
right frontal lobe,,,,40.565,,
right lobe of thyroid gland,,,,54.5025,,
right lung,,,,56.19,,
right testis,,,,46.664,,
saliva-secreting gland,,,,38.96,,
skin of abdomen,,,,42.76777777777777,,
skin of leg,,,,41.73875,,
small intestine Peyer's patch,,,,45.620999999999995,,
smooth muscle tissue,61.39,,,,,
spermatocyte,,,,,40.01,
substantia nigra,,,,41.355714285714285,,
temporal lobe,69.51,,,,,
thoracic aorta,,,,37.14,,
thoracic mammary gland,,,,38.04714285714285,,
thymus,68.46,,,,,
tibial artery,,,,31.827499999999997,,
tibial nerve,,,,36.134,,
tip of external ear,,,38.36,,,
tongue,82.07,,,,,
transverse colon,,,,47.05,,
triceps brachii,,20.36,,,,
trophectoderm,,87.91999999999999,,,,
trophoblast,,50.73333333333333,,,,
upper lobe of left lung,,,,45.965714285714284,,
uterine cervix,,,,44.15,,
uterus,,,,,,46.755
vagina,,,,49.692,,
