tissue,bos_taurus,equus_caballus,human,pan_troglodytes
gastrocnemius,,,85.95363636363636,
gluteal muscle,62.44,,,
granulocyte,,,91.35,
granulosa cell,81.12,,,
heart left ventricle,,,88.57285714285715,
ileocecal valve,84.54,,,
ileum,57.489999999999995,,,
infraspinatus muscle,88.305,,,
inner cell mass,,68.445,,
intercostal muscle,59.55,,,
intestine,,,87.4125,
intramuscular adipose tissue,31.935000000000002,,,
islet of Langerhans,,,63.395555555555546,
isthmus of fallopian tube,76.58,,,
jejunum,51.637499999999996,,,
laryngeal cartilage,81.66,,,
left adrenal gland,,,88.775,
left adrenal gland cortex,,,87.56125,
left coronary artery,,,89.26,
left lobe of thyroid gland,,,82.36,
left ovary,,,83.884,
left testis,,,98.34166666666665,
left uterine tube,,,76.31,
longissimus muscle,53.78,,,
longissimus thoracis muscle,69.28299999999999,,,
lower esophagus,,,86.87,
lower esophagus mucosa,,,84.89,
lower esophagus muscularis layer,,,87.95181818181818,
male germ line stem cell (sensu Vertebrata) in testis,,,92.83,
mammary gland,61.1675,,,
mammary gland fat,61.56,,,
mesenteric lymph node,54.644999999999996,,,
midbrain,56.73,,,
milk,48.980000000000004,,,
minor salivary gland,,,86.708,
mucosa of stomach,,,90.11,
mucosa of transverse colon,,,85.35,
muscle layer of sigmoid colon,,,88.83727272727273,
muscle of leg,,,72.27000000000001,
nasal cavity mucosa,87.625,,,
nasopharynx,35.42,,,
neurohypophysis,76.425,,,
nucleus accumbens,,,87.09777777777778,
omasum,57.585,,,
oocyte,86.64,,,
pancreas,,,71.33000000000001,
parenchyma of mammary gland,52.73,,,
pharyngeal tonsil,40.3,,,
pigment epithelium of eye,49.335,,,
pons,63.94499999999999,,,
popliteal artery,,,89.15,
primordial germ cell in gonad,,,92.14,
prostate gland,,,92.78555555555555,
putamen,,,87.315,
rectum,,,59.49,
rectus femoris,81.725,,,
renal medulla,78.61,,,
retina,91.73,,,
right adrenal gland,,,88.536,
right adrenal gland cortex,,,92.04333333333334,
right atrium auricular region,,,89.875,
right coronary artery,,,85.88499999999999,
right frontal lobe,,,81.02,
right hemisphere of cerebellum,,,84.31888888888889,
right lobe of liver,,,82.85333333333332,
right lobe of thyroid gland,,,83.495,
right lung,,,89.62,
right ovary,,,78.78,
right testis,,,98.036,
right uterine tube,,,96.36,
rumen,54.765,,,
rumen epithelium,47.879999999999995,,,
rumen papilla,63.703333333333326,,,
ruminant reticulum,57.58,,,
scapular muscle,78.92,,,
semimembranosus muscle,78.27,,,
semitendinosus,56.553333333333335,,,
skin of abdomen,,,91.095,
skin of leg,,,89.2375,
small intestine,,,83.67,
small intestine Peyer's patch,,,87.62818181818182,
smooth muscle tissue,,,53.04,
spinal cord,,69.475,,
spiral colon,51.46,,,
stomach,,,89.63666666666667,
stromal cell of endometrium,,,77.56,
substantia nigra,,,88.32222222222222,
supraspinatus muscle,79.225,,,
sural nerve,,,75.81,
surface of tongue,75.19,,,
temporal cortex,56.254999999999995,,,
theca cell,77.7,,,
thoracic aorta,,,87.08166666666666,
thoracic mammary gland,,,82.94083333333333,
thymus,,,,99.76
tibial artery,,,89.47272727272728,
tibial nerve,,,83.16,
tongue,71.695,,,
tongue muscle,81.095,,,
tonsil,,,76.07666666666667,
trachea,59.17,,,
transverse colon,,,84.16,
trophectoderm,,74.12,,
trophoblast,,56.81999999999999,,
upper lobe of left lung,,,86.605,
ureter,63.235,,,
urethra,80.805,,,
uterine horn,39.33,,,
uterine tube infundibulum,65.725,,,
uterus,62.153333333333336,,,
vagina,,,89.124,
vas deferens,72.26,,,
ventricular zone,,,50.58,
vermiform appendix,,,62.61,
