Gene ID	Gene name	Anatomical entity ID	Anatomical entity name	Developmental stage ID	Developmental stage name	Sex	Strain	Expression	Call quality	FDR	Expression score	Expression rank	Including observed data	Self observation count	Descendant observation count	Affymetrix expression	Affymetrix call quality	Affymetrix FDR	Affymetrix expression score	Affymetrix expression rank	Affymetrix weight for expression rank and score	Including Affymetrix observed data	Self observation count Affymetrix	Descendant observation count Affymetrix	EST expression	EST call quality	EST FDR	EST expression score	EST expression rank	EST weight for expression rank and score	Including EST observed data	Self observation count EST	Descendant observation count EST	in situ hybridization expression	in situ hybridization call quality	in situ hybridization FDR	in situ hybridization expression score	in situ hybridization expression rank	in situ hybridization weight for expression rank and score	Including in situ hybridization observed data	Self observation count in situ hybridization	Descendant observation count in situ hybridization	RNA-Seq expression	RNA-Seq call quality	RNA-Seq FDR	RNA-Seq expression score	RNA-Seq expression rank	RNA-Seq weight for expression rank and score	Including RNA-Seq observed data	Self observation count RNA-Seq	Descendant observation count RNA-Seq	single-cell RNA-Seq expression	single-cell RNA-Seq call quality	single-cell RNA-Seq FDR	single-cell RNA-Seq expression score	single-cell RNA-Seq expression rank	single-cell RNA-Seq weight for expression rank and score	Including single-cell RNA-Seq observed data	Self observation count single-cell RNA-Seq	Descendant observation count single-cell RNA-Seq
ENSG00000099284	MACROH2A2	CL:0002255	stromal cell of endometrium	UBERON:0000113	post-juvenile	female	wild-type	present	gold quality	3.81687897169238E-8	74.97	1.17e4	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.81687897169238E-8	74.97	1.17e4	48866	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000237	third decade stage (human)	female	Black or African American	present	gold quality	0.0020910965258316753	74.78	1.18e4	yes	5	0	present	gold quality	0.0020910965258316753	74.78	1.18e4	67916	yes	5	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000237	third decade stage (human)	female	White	present	gold quality	0.00223050296088712	73.77	1.22e4	yes	4	0	present	gold quality	0.00223050296088712	73.77	1.22e4	53761	yes	4	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000237	third decade stage (human)	male	Black or African American	present	gold quality	0.00496277305092019	75.81	1.13e4	yes	3	0	present	gold quality	0.00496277305092019	75.81	1.13e4	40374	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000237	third decade stage (human)	male	White	present	gold quality	0.00221961024320294	75.50	1.14e4	yes	2	0	present	gold quality	0.00221961024320294	75.50	1.14e4	27036	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000238	fourth decade stage (human)	female	Asian	present	gold quality	0.00167287722066534	75.41	1.15e4	yes	1	0	present	gold quality	0.00167287722066534	75.41	1.15e4	13868	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000238	fourth decade stage (human)	female	Black or African American	present	gold quality	0.00382292568622067	73.26	1.25e4	yes	1	0	present	gold quality	0.00382292568622067	73.26	1.25e4	13978	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000238	fourth decade stage (human)	female	White	present	gold quality	0.00334575444133068	75.53	1.14e4	yes	2	0	present	gold quality	0.00334575444133068	75.53	1.14e4	26910	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000238	fourth decade stage (human)	male	Black or African American	present	gold quality	0.0037589066668917517	75.41	1.15e4	yes	9	0	present	gold quality	0.0037589066668917517	75.41	1.15e4	124287	yes	9	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000238	fourth decade stage (human)	male	White	present	gold quality	0.002927535136164345	75.16	1.16e4	yes	7	0	present	gold quality	0.002927535136164345	75.16	1.16e4	96003	yes	7	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000239	fifth decade stage (human)	female	Asian	present	gold quality	0.00221961024320294	72.88	1.26e4	yes	1	0	present	gold quality	0.00221961024320294	72.88	1.26e4	13238	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000239	fifth decade stage (human)	female	Black or African American	present	gold quality	0.00332941536480441	75.91	1.12e4	yes	3	0	present	gold quality	0.00332941536480441	75.91	1.12e4	41142	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000239	fifth decade stage (human)	female	White	present	gold quality	0.00221961024320294	73.61	1.23e4	yes	4	0	present	gold quality	0.00221961024320294	73.61	1.23e4	54042	yes	4	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000239	fifth decade stage (human)	male	Black or African American	present	gold quality	0.00382292568622067	76.24	1.11e4	yes	6	0	present	gold quality	0.00382292568622067	76.24	1.11e4	82707	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000239	fifth decade stage (human)	male	White	present	gold quality	0.0033412503705704455	74.75	1.18e4	yes	8	0	present	gold quality	0.0033412503705704455	74.75	1.18e4	109900	yes	8	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000240	sixth decade stage (human)	female	Black or African American	present	gold quality	0.00167287722066534	74.58	1.19e4	yes	2	0	present	gold quality	0.00167287722066534	74.58	1.19e4	26524	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000240	sixth decade stage (human)	male	Black or African American	present	gold quality	0.00167287722066534	75.20	1.16e4	yes	1	0	present	gold quality	0.00167287722066534	75.20	1.16e4	13298	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000240	sixth decade stage (human)	male	White	present	gold quality	0.00167287722066534	77.13	1.07e4	yes	1	0	present	gold quality	0.00167287722066534	77.13	1.07e4	13880	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000241	seventh decade stage (human)	female	White	present	gold quality	0.00382292568622067	75.80	1.13e4	yes	2	0	present	gold quality	0.00382292568622067	75.80	1.13e4	27182	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000241	seventh decade stage (human)	male	White	present	gold quality	0.00438539111137371	73.94	1.21e4	yes	3	0	present	gold quality	0.00438539111137371	73.94	1.21e4	41438	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000242	eighth decade stage (human)	male	White	present	gold quality	0.00221961024320294	75.61	1.14e4	yes	1	0	present	gold quality	0.00221961024320294	75.61	1.14e4	13906	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002328	bronchial epithelial cell	HsapDv:0000268	15-19 year-old (human)	female	White	present	gold quality	0.00167287722066534	75.44	1.15e4	yes	1	0	present	gold quality	0.00167287722066534	75.44	1.15e4	13259	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002336	buccal mucosa cell	HsapDv:0000239	fifth decade stage (human)	female	White	present	silver quality	0.0328541035764562	60.75	1.83e4	yes	2	0	present	silver quality	0.0328541035764562	60.75	1.83e4	31781	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0000002	uterine cervix	HsapDv:0000237	third decade stage (human)	female	wild-type	present	gold quality	4.35135913956276E-12	86.77	6.17e3	yes	1	2	present	gold quality	0.00639609278054321	86.14	6.46e3	21307	yes	1	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.45045304652092E-12	87.20	5.97e3	30430	yes	0	1	no data	NA	NA	NA	NA	NA	no	0	0
