gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,kidney,50.04,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,50.04,50.04
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,laryngeal cartilage,66.16499999999999,0.007071067811869,2,present_gold,MACROH2A2:VGNC:55987,variant,66.16499999999999,66.16499999999999
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,leukocyte,52.21875,2.9141400961518644,8,present_gold,MACROH2A2:VGNC:55987,variant,52.21875,52.21875
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,liver,47.188,2.3960217027397737,5,present_gold,MACROH2A2:VGNC:55987,variant,47.188,47.188
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,longissimus muscle,58.203333333333326,16.33669591237265,3,present_gold,MACROH2A2:VGNC:55987,variant,58.203333333333326,58.203333333333326
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,longissimus thoracis muscle,51.98375,3.4186293723821954,8,present_gold,MACROH2A2:VGNC:55987,variant,51.98375,51.98375
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,lung,49.98857142857143,2.345900172438636,7,present_gold,MACROH2A2:VGNC:55987,variant,49.98857142857143,49.98857142857143
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,lymph node,51.94,3.790092347159894,2,present_gold,MACROH2A2:VGNC:55987,variant,51.94,51.94
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,mammary gland,65.6625,11.321276061763829,4,present_gold,MACROH2A2:VGNC:55987,variant,65.6625,65.6625
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,mammary gland fat,73.52,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,73.52,73.52
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,mesenteric lymph node,51.845,0.007071067811864,2,present_gold,MACROH2A2:VGNC:55987,variant,51.845,51.845
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,metanephros cortex,55.41,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,55.41,55.41
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,midbrain,70.86,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,70.86,70.86
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,milk,52.7,5.034600282048216,2,present_gold,MACROH2A2:VGNC:55987,variant,52.7,52.7
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,monocyte,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:55987,variant,0.0,0.0
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,multicellular organism,65.59,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,65.59,65.59
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,muscle tissue,51.524,4.661430038089171,5,present_gold,MACROH2A2:VGNC:55987,variant,51.524,51.524
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,myometrium,89.61,0.0424264068711944,2,present_gold,MACROH2A2:VGNC:55987,variant,89.61,89.61
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,nasal cavity mucosa,67.75,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,67.75,67.75
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,nasopharynx,48.34,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,48.34,48.34
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,neurohypophysis,84.92500000000001,0.007071067811869,2,present_gold,MACROH2A2:VGNC:55987,variant,84.92500000000001,84.92500000000001
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,neutrophil,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:55987,variant,0.0,0.0
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,occipital lobe,64.13,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,64.13,64.13
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,olfactory segment of nasal mucosa,75.185,0.5868986283848332,2,present_gold,MACROH2A2:VGNC:55987,variant,75.185,75.185
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,omasum,69.64,0.0141421356237381,2,present_gold,MACROH2A2:VGNC:55987,variant,69.64,69.64
