Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSSSCG00000014307	MACROH2A1	caecum	present	gold quality	94.1
ENSSSCG00000014307	MACROH2A1	caecum	present	gold quality	95.38
ENSSSCG00000014307	MACROH2A1	colon	present	gold quality	94.1
ENSSSCG00000014307	MACROH2A1	colon	present	gold quality	94.81
ENSSSCG00000014307	MACROH2A1	psoas major muscle	present	gold quality	96.06
ENSSSCG00000014307	MACROH2A1	psoas major muscle	present	gold quality	94.89
ENSSSCG00000014307	MACROH2A1	epididymis	present	gold quality	92.9
ENSSSCG00000014307	MACROH2A1	semimembranosus muscle	present	gold quality	91.88
ENSSSCG00000014307	MACROH2A1	semimembranosus muscle	present	gold quality	92.53
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	90.11
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	92.67
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	90.54
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	95.68
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	94.84
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	94.9
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	94.07
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	95.1
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	94.68
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	94.74
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	92.08
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	93.44
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	91.66
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	93.44
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	88.71
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	92.86
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	92.34
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	92.24
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	93.12
ENSSSCG00000014307	MACROH2A1	longissimus thoracis muscle	present	gold quality	92.42
ENSSSCG00000014307	MACROH2A1	frontal cortex	present	gold quality	95.29
ENSSSCG00000014307	MACROH2A1	frontal cortex	present	gold quality	95.62
ENSSSCG00000014307	MACROH2A1	frontal cortex	present	gold quality	92.76
ENSSSCG00000014307	MACROH2A1	frontal cortex	present	gold quality	89.89
ENSSSCG00000014307	MACROH2A1	frontal cortex	present	gold quality	95.8
ENSSSCG00000014307	MACROH2A1	frontal cortex	present	gold quality	95.78
ENSSSCG00000014307	MACROH2A1	frontal cortex	present	gold quality	92.61
ENSSSCG00000014307	MACROH2A1	amygdala	present	gold quality	91.36
ENSSSCG00000014307	MACROH2A1	amygdala	present	gold quality	93.88
ENSSSCG00000014307	MACROH2A1	forebrain	present	gold quality	93.91
ENSSSCG00000014307	MACROH2A1	medulla oblongata	present	gold quality	94.39
ENSSSCG00000014307	MACROH2A1	medulla oblongata	present	gold quality	90.02
ENSSSCG00000014307	MACROH2A1	dorsal plus ventral thalamus	present	gold quality	94.6
ENSSSCG00000014307	MACROH2A1	dorsal plus ventral thalamus	present	gold quality	93.57
ENSSSCG00000014307	MACROH2A1	hypothalamus	present	gold quality	95.24
ENSSSCG00000014307	MACROH2A1	hypothalamus	present	gold quality	96.87
ENSSSCG00000014307	MACROH2A1	Ammon's horn	present	gold quality	94.61
ENSSSCG00000014307	MACROH2A1	cerebellum	present	gold quality	94.79
ENSSSCG00000014307	MACROH2A1	cerebellum	present	gold quality	91.35
ENSSSCG00000014307	MACROH2A1	cerebellum	present	gold quality	90.26
ENSSSCG00000014307	MACROH2A1	lung	present	gold quality	94.34
ENSSSCG00000014307	MACROH2A1	lung	present	gold quality	95.1
ENSSSCG00000014307	MACROH2A1	lung	present	gold quality	92.35
ENSSSCG00000014307	MACROH2A1	lung	present	gold quality	94.24
ENSSSCG00000014307	MACROH2A1	heart left ventricle	present	gold quality	97.15
ENSSSCG00000014307	MACROH2A1	heart left ventricle	present	gold quality	96.46
ENSSSCG00000014307	MACROH2A1	spleen	present	gold quality	97.37
ENSSSCG00000014307	MACROH2A1	spleen	present	gold quality	95.84
ENSSSCG00000014307	MACROH2A1	spleen	present	gold quality	95.38
ENSSSCG00000014307	MACROH2A1	spleen	present	gold quality	95.09
ENSSSCG00000014307	MACROH2A1	spleen	present	gold quality	95.77
ENSSSCG00000014307	MACROH2A1	spleen	present	gold quality	95.43
ENSSSCG00000014307	MACROH2A1	spleen	present	gold quality	94.47
ENSSSCG00000014307	MACROH2A1	liver	present	gold quality	93.2
ENSSSCG00000014307	MACROH2A1	liver	present	gold quality	92.84
ENSSSCG00000014307	MACROH2A1	liver	present	gold quality	89.44
ENSSSCG00000014307	MACROH2A1	liver	present	gold quality	89.87
ENSSSCG00000014307	MACROH2A1	liver	present	gold quality	89.99
ENSSSCG00000014307	MACROH2A1	liver	present	gold quality	91.47
