tissue,bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta
right lobe of thyroid gland,,,,54.97375,
right lung,,,,51.575,
right ovary,,,,58.854,
right testis,,,,55.048,
right uterine tube,,,,62.39,
rumen,74.195,,,,
rumen epithelium,44.85999999999999,,,,
saliva-secreting gland,,,,42.345,
scapular muscle,33.19,,,,
semen,86.64,,,,
semitendinosus,45.24,,,,
sigmoid colon,,,,44.7175,
skeletal muscle tissue,,,,,44.8
skin of abdomen,,,,32.615,
skin of leg,,,,31.256,
small intestine Peyer's patch,,,,40.827777777777776,
spinal cord,,,,54.79,
spiral colon,88.18,,,,
stomach,,,,61.49,
stromal cell of endometrium,,,,66.75,
substantia nigra,,,,46.76875,
sural nerve,,,,60.47,
temporal cortex,39.739999999999995,,,,
thoracic aorta,,,,52.18666666666667,
thoracic mammary gland,,,,42.71111111111111,
thymus,,,,80.59,
tibial artery,,,,59.15909090909091,
tibial nerve,,,,48.303636363636365,
tongue,,62.52,,,
trachea,,,,92.67,
transverse colon,,,,41.445,
upper lobe of left lung,,,,47.69375,
uterine cervix,,,,46.79,
vagina,,,,47.584,
vastus lateralis,,,,94.34166666666665,
ventricular zone,,,,52.94,
