species	species_slug	gene_id	gene_name	anatomical_entity_name	expression	call_quality	expression_score	affymetrix_expression_score	est_expression_score	in_situ_hybridization_expression_score	rna_seq_expression_score	single_cell_rna_seq_expression_score	active_sources	active_source_count	source_class	heatmap_qualifying	overall_equals_rnaseq_score
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	88.90				88.90		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	silver quality	81.99	81.99					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	87.88	81.99			88.10		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	88.40				88.40		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	89.78				89.78		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	90.26				90.26		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	silver quality	81.56	81.56					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	88.24	91.05			86.95		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.24				87.24		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.01	86.01					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.79	87.32			88.19		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.56	87.59			87.55		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	85.71	81.78			86.26		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	87.09	86.02			87.32		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.81	89.80			86.74		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	85.90	83.06			86.05		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.26	77.68			86.39		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	84.43				84.43		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	82.24	82.24					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	pituitary gland	present	gold quality	86.37	85.45			86.46		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	76.00	76.00					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	74.88	74.88					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	78.28	78.28					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	79.21	79.21					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	80.17	78.22			80.20		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	73.11	73.11					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	79.88	77.56			80.27		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	79.80	83.26			79.63		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	80.17	74.04			80.36		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	79.90	74.06			80.16		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	80.16	72.40			80.36		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	79.85	74.47			80.05		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	79.81	72.25			80.08		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	zone of skin	present	gold quality	78.76	78.76					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	lymph node	present	gold quality	83.00	83.00					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	lymph node	present	gold quality	82.24	82.24					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	lymph node	present	gold quality	83.71	83.71					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	lymph node	present	gold quality	75.88				75.88		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	lymph node	present	gold quality	80.25	96.42			75.88		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	lymph node	present	gold quality	78.71	86.04			77.36		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	tendon	absent	gold quality	68.47	68.47					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	tendon	absent	gold quality	66.13	66.13					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	tendon	absent	silver quality	66.60	66.60					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	tendon	present	silver quality	66.88	66.88					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	tendon	present	gold quality	66.11	66.11					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	dorsal root ganglion	present	silver quality	81.45	81.45					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	dorsal root ganglion	present	gold quality	81.88	81.88					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	dorsal root ganglion	present	gold quality	80.32	80.32					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	dorsal root ganglion	present	gold quality	82.63	82.63					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	dorsal root ganglion	present	gold quality	79.73	79.73					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	dorsal root ganglion	present	silver quality	84.94	84.94					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	urethra	present	gold quality	80.59	80.59					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	urethra	present	gold quality	80.97	80.97					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	urethra	present	gold quality	79.56	79.56					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	large intestine	present	gold quality	82.19	83.33			82.11		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	large intestine	present	gold quality	81.88	83.17			81.76		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	renal glomerulus	present	gold quality	79.19	79.19					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	metanephros	present	gold quality	89.82	89.82					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	metanephros	present	gold quality	91.83	91.83					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	metanephros	present	gold quality	94.20	94.20					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	metanephros	present	gold quality	85.15	85.15					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	84.90				84.90		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	86.12	86.44			85.92		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	87.10				87.10		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	80.57				80.57		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	82.77	86.73			81.24		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	82.29	81.61			82.46		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	84.10				84.10		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	84.34				84.34		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	adult mammalian kidney	present	gold quality	83.60	83.67			83.58		Affymetrix|RNA-Seq	2	multi_source	yes	no
