Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count
ENSFCAG00000027552	H2AC1	embryo	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000027552	H2AC1	embryonic head	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000027552	H2AC1	eyeball of camera-type eye	32.03	0.0	1	present_gold	32.03	0.0	1	1	1
ENSFCAG00000027552	H2AC1	liver	20.21	0.0	1	present_gold	20.21	0.0	1	2	1
ENSFCAG00000027552	H2AC1	prefrontal cortex	15.91	0.0	1	present_gold	15.91	0.0	1	1	1
ENSFCAG00000027552	H2AC1	spleen	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000027552	H2AC1	testis	35.96333333333333	12.692723637318089	3	present_gold	35.96333333333333	12.692723637318089	3	3	3
ENSFCAG00000027552	H2AC1	tip of external ear	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000027552	H2AC1	uterus	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000027552	H2AC1	zone of skin	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		adult mammalian kidney	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSFCAG00000030442		brain	42.61	0.0	1	present_gold	42.61	0.0	1	2	1
ENSFCAG00000030442		embryo	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		embryonic head	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		eyeball of camera-type eye	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		liver	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSFCAG00000030442		prefrontal cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		spleen	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		testis	39.19	7.528824609459302	3	present_gold	39.19	7.528824609459302	3	3	3
ENSFCAG00000030442		tip of external ear	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		uterus	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000030442		zone of skin	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSFCAG00000031712	H2AJ	adult mammalian kidney	93.47	1.4000714267493568	2	present_gold	93.47	1.4000714267493568	2	2	2
ENSFCAG00000031712	H2AJ	brain	57.61	0.0	1	present_gold	57.61	0.0	1	2	1
ENSFCAG00000031712	H2AJ	embryo	82.4	0.0	1	present_gold	82.4	0.0	1	1	1
ENSFCAG00000031712	H2AJ	embryonic head	71.72	0.0	1	present_gold	71.72	0.0	1	1	1
ENSFCAG00000031712	H2AJ	eyeball of camera-type eye	88.82	0.0	1	present_gold	88.82	0.0	1	1	1
ENSFCAG00000031712	H2AJ	liver	78.885	11.25006888867797	2	present_gold	78.885	11.25006888867797	2	2	2
ENSFCAG00000031712	H2AJ	prefrontal cortex	65.65	0.0	1	present_gold	65.65	0.0	1	1	1
ENSFCAG00000031712	H2AJ	spleen	93.0	0.0	1	present_gold	93.0	0.0	1	1	1
ENSFCAG00000031712	H2AJ	testis	57.99	6.664690540452721	3	present_gold	57.99	6.664690540452721	3	3	3
ENSFCAG00000031712	H2AJ	tip of external ear	98.29	0.0	1	present_gold	98.29	0.0	1	1	1
ENSFCAG00000031712	H2AJ	uterus	87.23	0.0	1	present_gold	87.23	0.0	1	1	1
ENSFCAG00000031712	H2AJ	zone of skin	96.72	0.0	1	present_gold	96.72	0.0	1	1	1
ENSFCAG00000039458	H2AZ1	adult mammalian kidney	91.24	0.8626702730475871	2	present_gold	91.24	0.8626702730475871	2	2	2
