tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
muscle tissue,85.66428571428571,,,30.98,,,80.4,,,,,
occipital lobe,45.05,91.48,,,,,74.79666666666667,,,,,
olfactory segment of nasal mucosa,52.9,,,,,,77.16,75.57,,,,
ovary,66.225,98.89,,,,,86.89,,,,,
oviduct epithelium,62.5,,,98.72,,,90.86,,,,,
placenta,82.655,87.04,,,,,90.858,,,,,
primary visual cortex,,,,,,,76.16166666666668,73.37,,,81.07,
renal medulla,71.515,78.59,,,,,90.31666666666666,,,,,
saliva-secreting gland,85.24000000000001,48.28,,,,,78.862,,,,,
spinal cord,,46.36,,96.02375,,,88.273,,,,,
superior frontal gyrus,,,,,,,72.13904761904762,76.82,,,74.56222222222222,
temporal lobe,,87.3,,,,,75.73571428571428,,,,93.15,
thyroid gland,75.25,82.02,,,,,86.93235294117646,,,,,
tongue,66.50333333333333,94.55,,,,,79.69,,,,,
triceps brachii,83.93,,,45.415,,,83.91,,,,,
urinary bladder,82.97,77.83,,,,,81.1525,,,,,
uterus,61.69333333333333,,,,0.0,,84.70500000000001,,,,,
Brodmann (1909) area 10,,,,,,,0.0,,,,63.22,
adenohypophysis,93.865,,,,,,85.62,,,,,
adrenal cortex,,78.32499999999999,,,,,80.10499999999999,,,,,
aorta,61.525000000000006,,,,,,81.83000000000001,,,,,
caecum,74.33,,,,,,82.43,,,,,
caput epididymis,75.44,,,,,,76.41000000000001,,,,,
cardiac atrium,62.95,,,,,,78.94333333333333,,,,,
cardiac ventricle,69.3,,,,,,83.06,,,,,
cartilage tissue,,70.71,,,,,82.31,,,,,
corpus epididymis,69.04,,,,,,92.57,,,,,
diaphragm,93.995,,,,,,0.0,,,,,
duodenum,67.875,,,,,,91.1325,,,,,
epithelium of bronchus,,,,32.59,,,90.63714285714286,,,,,
esophagus,60.615,,,,,,87.89285714285714,,,,,
fibroblast,,,,,,,,84.75,,,95.915,
gall bladder,89.84,,,,,,89.29,,,,,
gluteal muscle,88.03,,,,,,82.53,,,,,
gluteus medius,83.015,,,29.66,,,,,,,,
granulocyte,,92.68,,,,,93.95,,,,,
hair follicle,,79.54,,,,,87.61666666666667,,,,,
heart left ventricle,,77.96333333333332,,,,,84.98823529411764,,,,,
heart right ventricle,,69.44,,,,,82.81166666666667,,,,,
ileum,78.874,,,,,,,76.87,,,,
large intestine,,93.34,,,,,86.545,,,,,
midbrain,46.96,,,,,,82.80199999999999,,,,,
monocyte,69.84,,,,,,99.19,,,,,
mucosa of urinary bladder,,54.165,,,,,0.0,,,,,
myometrium,48.055,,,,,,79.4,,,,,
nasal cavity mucosa,77.96000000000001,,,,,,0.0,,,,,
nasopharynx,62.69,,,,,,85.78,,,,,
olfactory bulb,,46.39,,,,,0.0,,,,,
omental fat pad,71.69,,,,,,86.50272727272727,,,,,
oocyte,91.5,,,,,,0.0,,,,,
pancreas,,74.71333333333332,,,,,83.45500000000001,,,,,
pons,65.64,,,,,,0.0,,,,,
prostate gland,0.0,,,,,,91.685,,,,,
small intestine,,75.575,,,,,86.075,,,,,
smooth muscle tissue,,90.85,,,,,80.83,,,,,
spermatid,44.2,,,,,,,54.61,,,,
spermatocyte,44.57,,,,,,,59.92,,,,
stomach,,70.25,,,,,88.92,,,,,
subcutaneous adipose tissue,53.973636363636366,,,,,,77.82894736842105,,,,,
trachea,58.865,,,,,,89.2,,,,,
urethra,76.075,,,,,,74.26333333333334,,,,,
uterine cervix,78.695,,,,,,84.4,,,,,
Brodmann (1909) area 23,,,,,,,74.4825,,,,,
Brodmann (1909) area 46,,,,,,,84.262,,,,,
Brodmann (1909) area 9,,,,,,,81.034,,,,,
C1 segment of cervical spinal cord,,,,,,,93.70555555555556,,,,,
CA1 field of hippocampus,,,,,,,85.17,,,,,
abdominal lymph node,67.03,,,,,,,,,,,
abomasum,71.20333333333333,,,,,,,,,,,
adipose tissue of abdominal region,,,,,,,86.63333333333333,,,,,
adrenal tissue,,,,,,,88.96999999999998,,,,,
adult organism,,,,,,,80.87,,,,,
amniotic fluid,,,,,,,98.43,,,,,
ampulla of uterine tube,64.16,,,,,,,,,,,
amygdala,,,,,,,82.92090909090909,,,,,
anatomical system,,,,,,,85.61,,,,,
anterior cingulate cortex,,,,,,,80.80636363636364,,,,,
anterior segment of eyeball,70.15,,,,,,,,,,,
apex of heart,,,,,,,86.14,,,,,
articular cartilage of joint,,,,0.0,,,,,,,,
ascending aorta,,,,,,,81.438,,,,,
ascending colon,60.24,,,,,,,,,,,
biceps brachii,,,,,,,88.626,,,,,
biceps femoris,76.72,,,,,,,,,,,
blood vessel layer,,,,,,,72.74,,,,,
body of pancreas,,,,,,,80.563,,,,,
body of stomach,,,,,,,82.42818181818183,,,,,
body of tongue,,,,,,,78.2,,,,,
body of uterus,,,,,,,76.952,,,,,
bone marrow cell,,,,,,,87.31666666666666,,,,,
brainstem,,,,81.02000000000001,,,,,,,,
bronchial epithelial cell,,,,,,,92.5990476190476,,,,,
bronchus,,,,,,,91.145,,,,,
buccal mucosa cell,,,,,,,97.57,,,,,
calcaneal tendon,,,,,,,90.784,,,,,
cardia of stomach,,,,,,,77.39,,,,,
cardiac muscle of left ventricle,,0.0,,,,,,,,,,
cardiac muscle of right atrium,,,,,,,0.0,,,,,
cauda epididymis,,,,,,,73.76499999999999,,,,,
caudate nucleus,,,,,,,84.35470588235295,,,,,
central nervous system,,,,,,,81.81,,,,,
cerebellar hemisphere,,,,,,,76.44818181818182,,,,,
cerebellar vermis,,,,,,,0.0,,,,,
cervix epithelium,,,,,,,85.975,,,,,
cervix squamous epithelium,,,,,,,0.0,,,,,
chorionic villus,,,,49.02,,,,,,,,
choroid plexus,86.09,,,,,,,,,,,
choroid plexus epithelium,,,,,,,93.18,,,,,
cingulate cortex,,,,,,,0.0,,,,,
colonic epithelium,,,,,,,89.32,,,,,
colonic mucosa,,,,,,,94.15666666666668,,,,,
conceptus,97.93,,,,,,,,,,,
connective tissue,,,,,,,83.41,,,,,
coronary artery,,,,,,,80.88,,,,,
corpus callosum,,,,,,,92.17833333333334,,,,,
corpus luteum,78.15,,,,,,,,,,,
cortical plate,,,,,,,74.87,,,,,
cranial nerve II,,,,,,,94.25,,,,,
cumulus cell,69.07,,,,,,,,,,,
decidua,,,,,,,91.03,,,,,
deltoid,,,,,,,84.5075,,,,,
descending colon,71.27333333333333,,,,,,,,,,,
descending thoracic aorta,,,,,,,82.00999999999999,,,,,
digestive system secreted substance,59.42,,,,,,,,,,,
dorsal motor nucleus of vagus nerve,,,,,,,87.91999999999999,,,,,
dorsal plus ventral thalamus,,,,,,,81.38,,,,,
dorsal root ganglion,,,,,,,78.53142857142858,,,,,
dorsal thalamus,56.89,,,,,,,,,,,
ectocervix,,,,,,,86.372,,,,,
embryonic head,,,,,0.0,,,,,,,
endocervix,,,,,,,86.32666666666667,,,,,
endometrium epithelium,,,,,,,78.41,,,,,
endothelial cell,,,,,,,0.0,,,,,
entorhinal cortex,,,,,,,71.96352941176471,,,,,
epithelial cell of pancreas,,,,,,,0.0,,,,,
epithelium of esophagus,,,,,,,93.26,,,,,
epithelium of mammary gland,,,,,,,81.50333333333333,,,,,
epithelium of nasopharynx,,,,,,,85.8,,,,,
esophagogastric junction muscularis propria,,,,,,,81.83181818181818,,,,,
esophagus mucosa,,,,,,,91.39727272727272,,,,,
esophagus squamous epithelium,,,,,,,94.03,,,,,
eye,,,,,,,77.56666666666666,,,,,
eyeball of camera-type eye,,,,,27.42,,,,,,,
fallopian tube,,,,,,,87.38499999999999,,,,,
female reproductive system,,,,,,,85.81,,,,,
floor plate of diencephalon,46.84,,,,,,,,,,,
forebrain,,,,,,,74.265,,,,,
fornix of vagina,79.91499999999999,,,,,,,,,,,
frontal pole,,,,,,,0.0,,,,,
fundus of stomach,,,,,,,81.11142857142856,,,,,
ganglionic eminence,,,,,,,82.14,,,,,
gastrocnemius,,,,,,,89.58615384615383,,,,,
germinal epithelium of ovary,,,,,,,85.12,,,,,
gingiva,,,,,,,90.96,,,,,
gingival epithelium,,,,,,,84.81,,,,,
globus pallidus,,,,,,,87.53,,,,,
granulosa cell,71.2,,,,,,,,,,,
head,,52.96333333333333,,,,,,,,,,
ileal mucosa,,,,,,,90.3,,,,,
ileocecal valve,69.85,,,,,,,,,,,
inferior olivary complex,,,,,,,79.20333333333333,,,,,
inferior vagus X ganglion,,,,,,,88.594,,,,,
infraspinatus muscle,86.78999999999999,,,,,,,,,,,
inner cell mass,,,,80.695,,,,,,,,
intercostal muscle,89.21,,,,,,,,,,,
intestine,,,,,,,92.1525,,,,,
intramuscular adipose tissue,75.175,,,,,,,,,,,
islet of Langerhans,,,,,,,88.968,,,,,
isthmus of fallopian tube,67.82,,,,,,,,,,,
jejunal mucosa,,,,,,,95.03,,,,,
keratinocyte,,53.76,,,,,,,,,,
kidney epithelium,,,,,,,85.67,,,,,
laryngeal cartilage,70.085,,,,,,,,,,,
lateral globus pallidus,,,,,,,86.28999999999999,,,,,
lateral nuclear group of thalamus,,,,,,,77.25,,,,,
layer of synovial tissue,,,,,,,65.965,,,,,
left adrenal gland,,,,,,,87.99625,,,,,
left adrenal gland cortex,,,,,,,87.81,,,,,
left cardiac atrium,,57.28,,,,,,,,,,
left coronary artery,,,,,,,83.63444444444445,,,,,
left lobe of thyroid gland,,,,,,,84.27,,,,,
left ovary,,,,,,,83.59200000000001,,,,,
left testis,,,,,,,74.685,,,,,
left uterine tube,,,,,,,73.055,,,,,
left ventricle myocardium,,,,,,,78.13,,,,,
longissimus muscle,91.47666666666667,,,,,,,,,,,
longissimus thoracis muscle,80.683,,,,,,,,,,,
lower esophagus,,,,,,,83.815,,,,,
lower esophagus mucosa,,,,,,,96.21,,,,,
lower esophagus muscularis layer,,,,,,,83.33090909090909,,,,,
lower lobe of lung,,,,,,,74.84125,,,,,
male germ cell,,,,,,,0.0,,,,,
male germ line stem cell (sensu Vertebrata) in testis,,,,,,,82.12,,,,,
mammalian vulva,,,,,,,83.702,,,,,
mammary duct,,,,,,,79.41,,,,,
mammary gland fat,60.62,,,,,,,,,,,
material anatomical entity,,,,,,,85.28999999999999,,,,,
medial globus pallidus,,,,,,,88.0,,,,,
medulla oblongata,,,,,,,79.56,,,,,
mesenteric lymph node,78.825,,,,,,,,,,,
metanephric glomerulus,,,,,,,84.39714285714285,,,,,
metanephros,,,,,,,82.5375,,,,,
middle frontal gyrus,,,,,,,76.51,,,,,
middle temporal gyrus,,,,,,,73.91499999999999,,,,,
milk,89.515,,,,,,,,,,,
minor salivary gland,,,,,,,83.686,,,,,
mitral valve,,74.69999999999999,,,,,,,,,,
mononuclear cell,,,,,,,98.575,,,,,
mouth mucosa,,,,,,,83.9925,,,,,
mucosa of paranasal sinus,,,,,,,79.14,,,,,
mucosa of sigmoid colon,,,,,,,89.54,,,,,
mucosa of stomach,,,,,,,67.11,,,,,
mucosa of transverse colon,,,,,,,94.27,,,,,
muscle layer of sigmoid colon,,,,,,,83.59363636363636,,,,,
muscle of leg,,,,,,,89.00999999999999,,,,,
muscle organ,,,,,,,0.0,,,,,
myocardium,,,,,,,83.56,,,,,
nasal cavity epithelium,,,,,,,80.41000000000001,,,,,
neocortex,,,,,,,68.03,,,,,
nephron tubule,,,,,,,86.66375,,,,,
neurohypophysis,87.62,,,,,,,,,,,
neutrophil,96.55,,,,,,,,,,,
nipple,,,,,,,77.10499999999999,,,,,
nose,,43.8,,,,,,,,,,
nucleus accumbens,,,,,,,82.89461538461539,,,,,
occipital cortex,,41.3,,,,,,,,,,
omasum,66.205,,,,,,,,,,,
oral cavity,,,,,,,91.15833333333336,,,,,
orbitofrontal cortex,,,,,,,0.0,,,,,
palpebral conjunctiva,,,,,,,89.16166666666668,,,,,
pancreatic ductal cell,,,,,,,0.0,,,,,
paraflocculus,,,,,,,71.0,,,,,
parenchyma of mammary gland,0.0,,,,,,,,,,,
parietal lobe,,,,,,,71.75,,,,,
parietal pleura,,,,,,,87.0775,,,,,
parotid gland,,,,,,,68.708,,,,,
penis,,,,,,,76.85,,,,,
pericardium,,,,,,,95.89,,,,,
periodontal ligament,,,,,,,93.01,,,,,
peritoneum,,,,,,,86.03,,,,,
pharyngeal mucosa,,,,,,,87.23333333333333,,,,,
pharyngeal tonsil,66.51,,,,,,,,,,,
pigment epithelium of eye,44.655,,,,,,,,,,,
pigmented layer of retina,,,,,,,73.1925,,,,,
pleura,,,,,,,85.01,,,,,
popliteal artery,,,,,,,82.63,,,,,
postcentral gyrus,,,,,,,72.94533333333334,,,,,
primordial germ cell in gonad,,,,,,,81.09,,,,,
putamen,,,,,,,84.70928571428571,,,,,
pylorus,,,,,,,88.52,,,,,
quadriceps femoris,,,,,,,83.89399999999999,,,,,
rectum,,,,,,,90.135,,,,,
rectus femoris,94.435,,,,,,,,,,,
renal glomerulus,,,,,,,87.05,,,,,
retropharyngeal lymph node,61.95,,,,,,,,,,,
right adrenal gland,,,,,,,91.044,,,,,
right adrenal gland cortex,,,,,,,92.02333333333333,,,,,
right atrium auricular region,,,,,,,84.16727272727273,,,,,
right cardiac atrium,,65.11,,,,,,,,,,
right coronary artery,,,,,,,82.505,,,,,
right frontal lobe,,,,,,,79.03333333333333,,,,,
right hemisphere of cerebellum,,,,,,,76.0311111111111,,,,,
right lobe of liver,,,,,,,91.31,,,,,
right lobe of thyroid gland,,,,,,,87.3675,,,,,
right lung,,,,,,,90.645,,,,,
right ovary,,,,,,,80.248,,,,,
right testis,,,,,,,74.488,,,,,
right uterine tube,,,,,,,90.54,,,,,
rumen,74.292,,,,,,,,,,,
rumen epithelium,84.00333333333333,,,,,,,,,,,
rumen papilla,78.22,,,,,,,,,,,
ruminant reticulum,48.31,,,,,,,,,,,
saphenous vein,,,,,,,0.0,,,,,
scapular muscle,82.63,,,,,,,,,,,
secondary oocyte,,,,,,,0.0,,,,,
semen,0.0,,,,,,,,,,,
semimembranosus muscle,70.91000000000001,,,,,,,,,,,
seminal vesicle,,,,,,,83.27,,,,,
semitendinosus,69.60333333333334,,,,,,,,,,,
sigmoid colon,,,,,,,84.1075,,,,,
skeletal muscle tissue of biceps brachii,,,,,,,85.085,,,,,
skeletal muscle tissue of rectus abdominis,,,,,,,0.0,,,,,
skin of abdomen,,,,,,,87.78999999999999,,,,,
skin of hip,,,,,,,77.45,,,,,
skin of leg,,,,,,,86.67166666666667,,,,,
small intestine Peyer's patch,,,,,,,83.69636363636363,,,,,
sperm,,,,,,,83.88,,,,,
spiral colon,97.88,,,,,,,,,,,
squamous epithelium,,,,,,,0.0,,,,,
stromal cell of endometrium,,,,,,,81.26,,,,,
substantia nigra,,,,,,,87.208,,,,,
substantia nigra pars compacta,,,,,,,81.225,,,,,
substantia nigra pars reticulata,,,,,,,84.5,,,,,
subthalamic nucleus,,,,,,,83.605,,,,,
superficial temporal artery,,,,,,,0.0,,,,,
superior surface of tongue,,,,,,,82.345,,,,,
superior vestibular nucleus,,,,,,,78.038,,,,,
supraspinatus muscle,69.89500000000001,,,,,,,,,,,
sural nerve,,,,,,,0.0,,,,,
surface of tongue,75.67,,,,,,,,,,,
synovial joint,,,,,,,70.41,,,,,
synovial membrane of synovial joint,,,,0.0,,,,,,,,
telencephalon,,,,,,,81.91499999999999,,,,,
temporal cortex,48.585,,,,,,,,,,,
tendon,,,,,,,65.15666666666667,,,,,
tendon of biceps brachii,,,,,,,0.0,,,,,
theca cell,73.99,,,,,,,,,,,
thoracic aorta,,,,,,,81.93666666666667,,,,,
thoracic mammary gland,,,,,,,84.146,,,,,
tibia,,,,,,,84.62,,,,,
tibial artery,,,,,,,82.70636363636363,,,,,
tibial nerve,,,,,,,77.24727272727273,,,,,
tibialis anterior,,,,,,,85.53,,,,,
tip of external ear,,,,,40.12,,,,,,,
tongue muscle,65.0,,,,,,,,,,,
tongue squamous epithelium,,,,,,,81.33,,,,,
tonsil,,,,,,,80.47,,,,,
trabecular bone tissue,,,,,,,91.035,,,,,
transverse colon,,,,,,,85.977,,,,,
trigeminal ganglion,,,,,,,76.99600000000001,,,,,
trophectoderm,,,,87.55000000000001,,,,,,,,
trophoblast,,,,51.95666666666667,,,,,,,,
type B pancreatic cell,,,,,,,0.0,,,,,
upper arm skin,,,,,,,67.83,,,,,
upper leg skin,,,,,,,89.46,,,,,
upper lobe of left lung,,,,,,,87.39,,,,,
upper lobe of lung,,,,,,,78.33,,,,,
ureter,67.05000000000001,,,,,,,,,,,
uterine horn,56.99,,,,,,,,,,,
uterine tube infundibulum,54.120000000000005,,,,,,,,,,,
vagina,,,,,,,95.305,,,,,
vas deferens,63.84,,,,,,,,,,,
vastus lateralis,,,,,,,82.30666666666667,,,,,
vena cava,,,,,,,0.0,,,,,
ventral tegmental area,,,,,,,80.1275,,,,,
ventricular zone,,,,,,,76.505,,,,,
vermiform appendix,,,,,,,78.6125,,,,,
visceral pleura,,,,,,,81.605,,,,,
