tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
bone marrow cell,,,,,,,98.73,,,,,
brainstem,,,,0.0,,,,,,,,
caecum,76.62666666666667,,,,,,,,,,,
calcaneal tendon,,,,,,,62.1175,,,,,
caput epididymis,0.0,,,,,,,,,,,
cardiac atrium,0.0,,,,,,,,,,,
cardiac muscle of left ventricle,,0.0,,,,,,,,,,
cardiac ventricle,49.53,,,,,,,,,,,
cartilage tissue,,0.0,,,,,,,,,,
caudate nucleus,,,,,,,36.675,,,,,
central nervous system,,,,,,,27.6,,,,,
cerebellar hemisphere,,,,,,,27.77,,,,,
cerebellar vermis,,,,,,,0.0,,,,,
chorionic villus,,,,27.67,,,,,,,,
choroid plexus,0.0,,,,,,,,,,,
colonic epithelium,,,,,,,76.91,,,,,
conceptus,99.13,,,,,,,,,,,
corpus callosum,,,,,,,52.35,,,,,
corpus epididymis,55.84,,,,,,,,,,,
corpus luteum,57.6,,,,,,,,,,,
cumulus cell,84.44,,,,,,,,,,,
dentate gyrus of hippocampal formation granule cell,,,,,,,,,0.0,,,
descending colon,65.72,,,,,,,,,,,
descending thoracic aorta,,,,,,,32.64,,,,,
diaphragm,78.61,,,,,,,,,,,
digestive system secreted substance,70.6,,,,,,,,,,,
dorsal thalamus,64.81,,,,,,,,,,,
ectocervix,,,,,,,60.535,,,,,
ectoplacental cone,,,,,,,,,33.71,,,
embryonic brain,,,,,,,,,59.825,,,
embryonic cell in blastocyst,,,,,,,,,68.3,,,
embryonic facial prominence,,,,,,,,,83.1225,,,
embryonic head,,,,,36.59,,,,,,,
embryonic post-anal tail,,,,,,,,,69.79,,,
endocervix,,,,,,,48.88,,,,,
endometrium epithelium,,,,,,,0.0,,,,,
epiblast (generic),,,,,,,,,48.31,,,
epiblast cell in embryo,,,,,,,,,85.65,,,
esophagogastric junction muscularis propria,,,,,,,28.05,,,,,
esophagus mucosa,,,,,,,55.30545454545455,,,,,
eyeball of camera-type eye,,,,,47.98,,,,,,,
fallopian tube,,,,,,,32.04,,,,,
fibroblast,,,,,,,,64.38,,,,
floor plate of diencephalon,80.49,,,,,,,,,,,
forebrain,,,,,,,,,85.145,,,
forelimb bud,,,,,,,,,72.75666666666667,,,
fornix of vagina,68.09,,,,,,,,,,,
frontal pole,,,,,,,0.0,,,,,
fundus of stomach,,,,,,,46.94499999999999,,,,,
gastrocnemius,,,,,,,29.355,,,,,
gluteal muscle,68.12,,,,,,,,,,,
granulosa cell,65.16,,,,,,,,,,,
hair follicle,,0.0,,,,,,,,,,
head,,38.515,,,,,,,,,,
heart right ventricle,,0.0,,,,,,,,,,
hindbrain,,,,,,,,,80.87833333333333,,,
hindlimb bud,,,,,,,,,76.964,,,
ileocecal valve,80.78,,,,,,,,,,,
infraspinatus muscle,54.370000000000005,,,,,,,,,,,
inner cell mass,,,,79.84,,,,,,,,
intercostal muscle,58.14,,,,,,,,,,,
intramuscular adipose tissue,70.92500000000001,,,,,,,,,,,
isthmus of fallopian tube,65.235,,,,,,,,,,,
keratinocyte,,0.0,,,,,,,,,,
large intestine,,48.74,,,,,,,,,,
laryngeal cartilage,62.74,,,,,,,,,,,
left adrenal gland,,,,,,,47.78125,,,,,
left adrenal gland cortex,,,,,,,50.22,,,,,
left cardiac atrium,,0.0,,,,,,,,,,
left coronary artery,,,,,,,46.73,,,,,
left lobe of thyroid gland,,,,,,,30.96166666666667,,,,,
left ovary,,,,,,,33.21333333333333,,,,,
left testis,,,,,,,30.0925,,,,,
left uterine tube,,,,,,,27.87,,,,,
lens of camera-type eye,,,,,,,,,61.398,,,
limb,,,,,,,,,85.365,,,
lip,,,,,,,,,54.58,,,
longissimus muscle,71.21666666666667,,,,,,,,,,,
longissimus thoracis muscle,46.65,,,,,,,,,,,
lower esophagus,,,,,,,25.79,,,,,
lower esophagus mucosa,,,,,,,59.98,,,,,
lower esophagus muscularis layer,,,,,,,28.73,,,,,
mammary gland fat,51.51,,,,,,,,,,,
mesenteric lymph node,55.945,,,,,,,,,,,
mesodermal cell in embryo,,,,,,,,,83.36,,,
metanephric glomerulus,,,,,,,0.0,,,,,
middle frontal gyrus,,,,,,,0.0,,,,,
milk,61.905,,,,,,,,,,,
minor salivary gland,,,,,,,39.89,,,,,
mitral valve,,0.0,,,,,,,,,,
mucosa of stomach,,,,,,,44.35,,,,,
mucosa of transverse colon,,,,,,,71.1,,,,,
mucosa of urinary bladder,,0.0,,,,,,,,,,
muscle layer of sigmoid colon,,,,,,,33.61714285714286,,,,,
muscle of leg,,,,,,,32.69,,,,,
nasal cavity mucosa,71.63,,,,,,,,,,,
nasopharynx,74.63,,,,,,,,,,,
neural tube,,,,,,,,,77.39666666666666,,,
neurohypophysis,58.57,,,,,,,,,,,
neutrophil,80.39,,,,,,,,,,,
nose,,0.0,,,,,,,,,,
nucleus accumbens,,,,,,,32.8325,,,,,
occipital cortex,,0.0,,,,,,,,,,
omasum,71.48,,,,,,,,,,,
oocyte,93.84,,,,,,,,,,,
paraflocculus,,,,,,,0.0,,,,,
parenchyma of mammary gland,0.0,,,,,,,,,,,
pharyngeal tonsil,74.59,,,,,,,,,,,
pigment epithelium of eye,60.44,,,,,,,,,,,
pons,71.78999999999999,,,,,,,,,,,
popliteal artery,,,,,,,34.42,,,,,
primary oocyte,,,,,,,,,0.0,,,
primordial germ cell in gonad,,,,,,,88.75,,,,,
proximal tubule,,,,,,,,,0.0,,,
putamen,,,,,,,43.11,,,,,
rectum,,,,,,,65.91,,,,,
rectus femoris,59.9,,,,,,,,,,,
retinal neural layer,,,,,,,,,0.0,,,
retropharyngeal lymph node,69.97,,,,,,,,,,,
right adrenal gland,,,,,,,52.545,,,,,
right adrenal gland cortex,,,,,,,51.89333333333334,,,,,
right atrium auricular region,,,,,,,32.222857142857144,,,,,
right cardiac atrium,,0.0,,,,,,,,,,
right coronary artery,,,,,,,0.0,,,,,
right frontal lobe,,,,,,,25.13,,,,,
right hemisphere of cerebellum,,,,,,,0.0,,,,,
right kidney,,,,,,,,,0.0,,,
right lobe of liver,,,,,,,47.67666666666667,,,,,
right lobe of thyroid gland,,,,,,,50.15,,,,,
right lung,,,,,,,52.6,,,,,
right ovary,,,,,,,0.0,,,,,
right testis,,,,,,,29.465,,,,,
right uterine tube,,,,,,,0.0,,,,,
rumen,81.7325,,,,,,,,,,,
rumen epithelium,77.93,,,,,,,,,,,
rumen papilla,63.580000000000005,,,,,,,,,,,
ruminant reticulum,65.16,,,,,,,,,,,
scapular muscle,52.36,,,,,,,,,,,
secondary oocyte,,,,,,,,,55.99,,,
semen,0.0,,,,,,,,,,,
semimembranosus muscle,51.99,,,,,,,,,,,
semitendinosus,51.77,,,,,,,,,,,
sigmoid colon,,,,,,,35.6375,,,,,
skin of abdomen,,,,,,,35.58571428571428,,,,,
skin of leg,,,,,,,33.7025,,,,,
small intestine Peyer's patch,,,,,,,45.979,,,,,
spiral colon,96.83,,,,,,,,,,,
striatum,,,,,,,,,0.0,,,
stromal cell of endometrium,,,,,,,47.8,,,,,
substantia nigra,,,,,,,35.07,,,,,
supraspinatus muscle,0.0,,,,,,,,,,,
sural nerve,,,,,,,0.0,,,,,
surface of tongue,69.195,,,,,,,,,,,
synovial membrane of synovial joint,,,,28.35,,,,,,,,
temporal cortex,74.635,,,,,,,,,,,
theca cell,67.45,,,,,,,,,,,
thoracic aorta,,,,,,,34.894,,,,,
thoracic mammary gland,,,,,,,35.04,,,,,
tibial artery,,,,,,,36.15857142857143,,,,,
tibial nerve,,,,,,,31.653333333333336,,,,,
tip of external ear,,,,,59.32,,,,,,,
tongue muscle,49.400000000000006,,,,,,,,,,,
tonsil,,,,,,,62.92333333333334,,,,,
trachea,52.165,,,,,,,,,,,
transverse colon,,,,,,,49.46,,,,,
trophectoderm,,,,89.35499999999999,,,,,,,,
trophoblast,,,,53.01,,,,,,,,
undifferentiated genital tubercle,,,,,,,,,84.32,,,
upper lobe of left lung,,,,,,,44.0,,,,,
ureter,68.565,,,,,,,,,,,
urethra,52.275000000000006,,,,,,,,,,,
uterine horn,49.57,,,,,,,,,,,
uterine tube infundibulum,59.21,,,,,,,,,,,
vagina,,,,,,,45.422,,,,,
vas deferens,51.91,,,,,,,,,,,
vastus lateralis,,,,,,,0.0,,,,,
vermiform appendix,,,,,,,36.32,,,,,
white adipose tissue,,,,,,,,,58.47,,,
yolk sac,,,,,,,,,88.42500000000001,,,
