tissue,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,mus_musculus,pan_troglodytes,sus_scrofa
gastrocnemius medialis,,,,,,81.17,,
gastrula,,,,,,92.43,,
gingiva,,,,82.82499999999999,,,,
gingival epithelium,,,,85.52,,,,
globus pallidus,,,,,,79.57,,
gluteus medius,,51.254999999999995,,,,,,
gonadal fat pad,,,,,,69.91,,
gonadal ridge,,,,,,96.60333333333334,,
granulosa cell,,,,,,,,95.41
habenula,,,,,,74.56,,
hindbrain,,,,,,97.015,,
hindlimb long bone,,,,,,97.44,,
hippocampal field,,,,,,79.62,,
hippocampal formation,,,,,,,,56.519999999999996
humerus cartilage element,,,,,,94.74,,
ileal epithelium,,,,,,95.08,,
ileal mucosa,,,,90.94,,,,
indifferent gonad,,,,,,96.77,,
inferior colliculus,,,,,,79.955,,
inferior olivary complex,,,,88.12333333333333,,,,
inferior vagus X ganglion,,,,93.505,,,,
inguinal mammary gland,,,,,,73.6075,,
inner cell mass,,67.43,,,,,,
internal carotid artery,,,,,,98.15,,
jejunal mucosa,,,,78.98,,,,
keratinocyte,72.65,,,,,,,
knee joint,,,,,,73.57,,
lacrimal gland,,,,,,79.9,,
late embryo,,,,,,98.4,,
lateral geniculate body,,,,,,79.55,,
lateral hypothalamic area,,,,,,81.01,,
lateral nuclear group of thalamus,,,,87.94999999999999,,,,
lateral septal nucleus,,,,,,81.08,,
layer of retina,,,,,,69.99,,
layer of synovial tissue,,,,83.61333333333333,,,,
left adrenal gland,,,,86.11375,,,,
left adrenal gland cortex,,,,86.0475,,,,
left cardiac atrium,44.06,,,,,,,
left colon,,,,,,84.77666666666666,,
left coronary artery,,,,81.12111111111112,,,,
left lobe of liver,,,,,,81.8,,
left lobe of thyroid gland,,,,78.22545454545455,,,,
left lung,,,,,,75.97,,
left lung lobe,,,,,,89.76,,
left ovary,,,,84.19,,,,
left testis,,,,85.75833333333333,,,,
left uterine tube,,,,82.05,,,,
lens of camera-type eye,,,,,,86.89222222222222,,
limb,,,,,,98.61,,
limb bud,,,,,,98.84,,
lip,,,,,,88.6,,
longissimus lumborum muscle,,,,,,,,65.38
longissimus thoracis muscle,,,,,,,,80.29705882352941
lower esophagus,,,,81.15,,,,
lower esophagus mucosa,,,,91.89,,,,
lower esophagus muscularis layer,,,,81.35818181818182,,,,
lower lobe of lung,,,,80.27000000000001,,,,
lumbar dorsal root ganglion,,,,,,53.05,,
lumbar subsegment of spinal cord,,,,,,66.59,,
male germ line stem cell (sensu Vertebrata) in testis,,,,81.64,,,,
male reproductive system,,,,,,97.89,,
mammalian vulva,,,,83.056,,,,
mammary bud,,,,,,97.3,,
mammary duct,,,,80.93,,,,
mammillary body,,,,,,78.01,,
mandibular prominence,,,,,,98.81,,
manus,,,,,,98.375,,
maxillary prominence,,,,,,98.8375,,
medial dorsal nucleus of thalamus,,,,,,79.12,,
medial ganglionic eminence,,,,,,99.18,,
medial geniculate body,,,,,,78.76,,
medial preoptic region,,,,,,80.86,,
medial vestibular nucleus,,,,,,79.88,,
median eminence of neurohypophysis,,,,,,77.81,,
membranous labyrinth,,,,,,80.8325,,
mesodermal cell in embryo,,,,,,97.00999999999999,,
metanephric S-shaped body,,,,,,89.995,,
metanephric collecting duct,,,,,,82.54,,
metanephric cortical collecting duct,,,,,,88.73,,
metanephric glomerulus,,,,75.615,,,,
metanephric loop of Henle,,,,,,95.77,,
metanephric mesenchyme,,,,,,96.13,,
metanephric proximal tubule,,,,,,88.63,,
