gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebral cortex,56.08,H2AX:VGNC:83734,variant,62.79
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebral cortex,69.5,H2AX:VGNC:83734,variant,62.79
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,retina,56.49,H2AX:VGNC:83734,variant,56.49
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,ovary,91.75,H2AX:VGNC:83734,variant,91.75
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adipose tissue,40.66,H2AX:VGNC:83734,variant,40.66
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,saliva-secreting gland,44.29,H2AX:VGNC:83734,variant,44.29
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,skeletal muscle tissue,71.26,H2AX:VGNC:83734,variant,64.535
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,skeletal muscle tissue,57.81,H2AX:VGNC:83734,variant,64.535
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,smooth muscle tissue,83.98,H2AX:VGNC:83734,variant,83.98
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,colon,73.32,H2AX:VGNC:83734,variant,63.379999999999995
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,colon,53.44,H2AX:VGNC:83734,variant,63.379999999999995
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adrenal cortex,69.67,H2AX:VGNC:83734,variant,70.745
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adrenal cortex,71.82,H2AX:VGNC:83734,variant,70.745
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,urinary bladder,52.4,H2AX:VGNC:83734,variant,52.4
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,mucosa of urinary bladder,63.32,H2AX:VGNC:83734,variant,64.165
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,mucosa of urinary bladder,65.01,H2AX:VGNC:83734,variant,64.165
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,pancreas,39.8,H2AX:VGNC:83734,variant,64.89
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,pancreas,90.08,H2AX:VGNC:83734,variant,64.89
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,pancreas,64.79,H2AX:VGNC:83734,variant,64.89
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,tongue,87.08,H2AX:VGNC:83734,variant,87.08
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,frontal cortex,76.79,H2AX:VGNC:83734,variant,78.18333333333334
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,frontal cortex,79.52,H2AX:VGNC:83734,variant,78.18333333333334
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,frontal cortex,78.24,H2AX:VGNC:83734,variant,78.18333333333334
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,temporal lobe,95.86,H2AX:VGNC:83734,variant,95.86
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,hypothalamus,52.07,H2AX:VGNC:83734,variant,52.07
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,mammary gland,49.97,H2AX:VGNC:83734,variant,69.38
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,mammary gland,88.79,H2AX:VGNC:83734,variant,69.38
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,placenta,88.05,H2AX:VGNC:83734,variant,88.05
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,occipital lobe,97.38,H2AX:VGNC:83734,variant,97.38
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebellum,91.26,H2AX:VGNC:83734,variant,66.5025
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebellum,58.35,H2AX:VGNC:83734,variant,66.5025
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebellum,59.98,H2AX:VGNC:83734,variant,66.5025
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cerebellum,56.42,H2AX:VGNC:83734,variant,66.5025
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,thyroid gland,69.44,H2AX:VGNC:83734,variant,69.44
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,lung,77.25,H2AX:VGNC:83734,variant,70.4725
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,lung,80.17,H2AX:VGNC:83734,variant,70.4725
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,lung,77.73,H2AX:VGNC:83734,variant,70.4725
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,lung,46.74,H2AX:VGNC:83734,variant,70.4725
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,hair follicle,73.16,H2AX:VGNC:83734,variant,73.16
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,right cardiac atrium,54.49,H2AX:VGNC:83734,variant,54.49
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,left cardiac atrium,44.06,H2AX:VGNC:83734,variant,44.06
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,heart right ventricle,43.71,H2AX:VGNC:83734,variant,43.71
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,heart left ventricle,58.27,H2AX:VGNC:83734,variant,56.26333333333333
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,heart left ventricle,52.05,H2AX:VGNC:83734,variant,56.26333333333333
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,heart left ventricle,58.47,H2AX:VGNC:83734,variant,56.26333333333333
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,spleen,60.91,H2AX:VGNC:83734,variant,79.47666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,spleen,93.84,H2AX:VGNC:83734,variant,79.47666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,spleen,83.68,H2AX:VGNC:83734,variant,79.47666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,liver,68.99,H2AX:VGNC:83734,variant,69.74857142857142
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,liver,71.7,H2AX:VGNC:83734,variant,69.74857142857142
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,liver,71.35,H2AX:VGNC:83734,variant,69.74857142857142
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,liver,56.36,H2AX:VGNC:83734,variant,69.74857142857142
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,liver,86.42,H2AX:VGNC:83734,variant,69.74857142857142
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,liver,61.23,H2AX:VGNC:83734,variant,69.74857142857142
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,liver,72.19,H2AX:VGNC:83734,variant,69.74857142857142
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,small intestine,94.46,H2AX:VGNC:83734,variant,83.75
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,small intestine,73.04,H2AX:VGNC:83734,variant,83.75
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,kidney,71.88,H2AX:VGNC:83734,variant,71.88
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,jejunum,88.89,H2AX:VGNC:83734,variant,88.89
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,mitral valve,75.97,H2AX:VGNC:83734,variant,67.2
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,mitral valve,58.43,H2AX:VGNC:83734,variant,67.2
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,spinal cord,66.03,H2AX:VGNC:83734,variant,66.03
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,olfactory bulb,75.95,H2AX:VGNC:83734,variant,75.95
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adrenal gland,59.83,H2AX:VGNC:83734,variant,60.724999999999994
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adrenal gland,61.62,H2AX:VGNC:83734,variant,60.724999999999994
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,thymus,86.94,H2AX:VGNC:83734,variant,86.94
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,bone marrow,70.76,H2AX:VGNC:83734,variant,70.76
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cartilage tissue,62.18,H2AX:VGNC:83734,variant,62.18
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,cardiac muscle of left ventricle,46.92,H2AX:VGNC:83734,variant,46.92
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,metanephros cortex,49.28,H2AX:VGNC:83734,variant,49.28
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,occipital cortex,49.4,H2AX:VGNC:83734,variant,49.4
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,leukocyte,90.6,H2AX:VGNC:83807,variant,90.6
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,zone of skin,79.45,H2AX:VGNC:83807,variant,81.265
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,zone of skin,83.08,H2AX:VGNC:83807,variant,81.265
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,adult mammalian kidney,72.55,H2AX:VGNC:83807,variant,72.55
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,inner cell mass,68.96,H2AX:VGNC:83807,variant,67.43
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,inner cell mass,65.9,H2AX:VGNC:83807,variant,67.43
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,trophoblast,91.12,H2AX:VGNC:83807,variant,93.64
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,trophoblast,91.24,H2AX:VGNC:83807,variant,93.64
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,trophoblast,98.56,H2AX:VGNC:83807,variant,93.64
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,blood,73.8,H2AX:VGNC:83807,variant,75.53166666666667
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,blood,73.26,H2AX:VGNC:83807,variant,75.53166666666667
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,blood,70.2,H2AX:VGNC:83807,variant,75.53166666666667
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,blood,83.43,H2AX:VGNC:83807,variant,75.53166666666667
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,blood,69.29,H2AX:VGNC:83807,variant,75.53166666666667
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,blood,83.21,H2AX:VGNC:83807,variant,75.53166666666667
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,prefrontal cortex,76.56,H2AX:VGNC:83807,variant,76.56
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,multicellular organism,81.18,H2AX:VGNC:83807,variant,81.18
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,testis,90.88,H2AX:VGNC:83807,variant,89.9625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,testis,93.72,H2AX:VGNC:83807,variant,89.9625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,testis,91.84,H2AX:VGNC:83807,variant,89.9625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,testis,83.41,H2AX:VGNC:83807,variant,89.9625
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,embryo,90.23,H2AX:VGNC:83807,variant,90.23
H2AX,equus_caballus,Equus caballus,ENSECAG00000029766,retina,76.68,H2AX:VGNC:83807,variant,76.68
