Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count	merged_gene_name	class
ENSG00000099284	MACROH2A2	testis	79.30230769230769	3.954333390611187	13	present_gold	79.30230769230769	3.954333390611187	13	13	13	MACROH2A2	variant
ENSG00000099284	MACROH2A2	thymus	86.695	5.28208765546352	2	present_gold	86.695	5.28208765546352	2	4	2	MACROH2A2	variant
ENSG00000105968	H2AZ2	Brodmann (1909) area 10	93.72	0.0	1	present_gold	93.72	0.0	1	1	1	H2AZ2	variant
ENSG00000105968	H2AZ2	adult mammalian kidney	94.76866666666666	2.2456811460053294	15	present_gold	94.76866666666666	2.2456811460053294	15	15	15	H2AZ2	variant
ENSG00000105968	H2AZ2	bone marrow	94.06714285714284	1.3374627446798633	14	present_gold	94.06714285714284	1.3374627446798633	14	14	14	H2AZ2	variant
ENSG00000105968	H2AZ2	cerebellar cortex	97.185	0.0494974746830535	2	present_gold	97.185	0.0494974746830535	2	2	2	H2AZ2	variant
ENSG00000105968	H2AZ2	cerebellum	97.36117647058823	0.7039432004158878	17	present_gold	97.36117647058823	0.7039432004158878	17	17	17	H2AZ2	variant
ENSG00000105968	H2AZ2	cerebral cortex	96.916	0.801224063542779	10	present_gold	96.916	0.801224063542779	10	10	10	H2AZ2	variant
ENSG00000105968	H2AZ2	colon	96.73777777777778	1.1928983762029817	18	present_gold	96.73777777777778	1.1928983762029817	18	18	18	H2AZ2	variant
ENSG00000105968	H2AZ2	cortex of kidney	96.016	0.5239561050317131	5	present_gold	96.016	0.5239561050317131	5	5	5	H2AZ2	variant
ENSG00000105968	H2AZ2	dorsolateral prefrontal cortex	96.8725	0.4504225069671903	24	present_gold	96.8725	0.4504225069671903	24	24	24	H2AZ2	variant
ENSG00000105968	H2AZ2	frontal cortex	96.39	0.5283710817219279	26	present_gold	96.39	0.5283710817219279	26	26	26	H2AZ2	variant
ENSG00000105968	H2AZ2	heart	97.665625	0.6307135509352365	16	present_gold	97.665625	0.6307135509352365	16	16	16	H2AZ2	variant
ENSG00000105968	H2AZ2	hindlimb stylopod muscle	96.42	0.0424264068711944	2	present_gold	96.42	0.0424264068711944	2	2	2	H2AZ2	variant
ENSG00000105968	H2AZ2	liver	94.34	2.1571256127288696	23	present_gold	94.34	2.1571256127288696	23	23	23	H2AZ2	variant
ENSG00000105968	H2AZ2	lung	94.42571428571428	3.391434167765269	21	present_gold	94.42571428571428	3.391434167765269	21	22	21	H2AZ2	variant
ENSG00000105968	H2AZ2	lymph node	94.67	2.347449679971862	6	present_gold	94.67	2.347449679971862	6	6	6	H2AZ2	variant
ENSG00000105968	H2AZ2	multicellular organism	95.77	0.0	1	present_gold	95.77	0.0	1	1	1	H2AZ2	variant
ENSG00000105968	H2AZ2	pituitary gland	93.9976923076923	1.940206835392188	13	present_gold	93.9976923076923	1.940206835392188	13	13	13	H2AZ2	variant
ENSG00000105968	H2AZ2	prefrontal cortex	96.373	0.9691353534637652	10	present_gold	96.373	0.9691353534637652	10	10	10	H2AZ2	variant
ENSG00000105968	H2AZ2	primary visual cortex	97.56222222222222	0.5469181332196278	9	present_gold	97.56222222222222	0.5469181332196278	9	9	9	H2AZ2	variant
ENSG00000105968	H2AZ2	skeletal muscle tissue	94.86117647058823	1.6892227589669049	17	present_gold	94.86117647058823	1.6892227589669049	17	17	17	H2AZ2	variant
ENSG00000105968	H2AZ2	spleen	96.385	0.3858756276314958	12	present_gold	96.385	0.3858756276314958	12	12	12	H2AZ2	variant
ENSG00000105968	H2AZ2	superior frontal gyrus	96.5672	1.221868514475542	25	present_gold	96.5672	1.221868514475542	25	25	25	H2AZ2	variant
ENSG00000105968	H2AZ2	temporal lobe	96.2325	1.3599658609160516	8	present_gold	96.2325	1.3599658609160516	8	8	8	H2AZ2	variant
ENSG00000105968	H2AZ2	testis	95.85769230769232	1.368735145101455	13	present_gold	95.85769230769232	1.368735145101455	13	13	13	H2AZ2	variant
ENSG00000105968	H2AZ2	thymus	93.8925	3.971677857027177	4	present_gold	93.8925	3.971677857027177	4	4	4	H2AZ2	variant
ENSG00000113648	MACROH2A1	Brodmann (1909) area 10	93.45	0.0	1	present_gold	93.45	0.0	1	1	1	MACROH2A1	variant
ENSG00000113648	MACROH2A1	adult mammalian kidney	94.45538461538462	2.0831331185845	13	present_gold	94.45538461538462	2.0831331185845	13	14	13	MACROH2A1	variant
ENSG00000113648	MACROH2A1	bone marrow	99.0442857142857	0.1846291203681386	14	present_gold	99.0442857142857	0.1846291203681386	14	14	14	MACROH2A1	variant
ENSG00000113648	MACROH2A1	cerebellar cortex	97.24666666666668	0.0230940107675886	3	present_gold	97.24666666666668	0.0230940107675886	3	3	3	MACROH2A1	variant
ENSG00000113648	MACROH2A1	cerebellum	97.26352941176472	0.5619935628687226	17	present_gold	97.26352941176472	0.5619935628687226	17	17	17	MACROH2A1	variant
ENSG00000113648	MACROH2A1	cerebral cortex	96.469	1.1789020315530894	10	present_gold	96.469	1.1789020315530894	10	10	10	MACROH2A1	variant
ENSG00000113648	MACROH2A1	colon	97.43055555555556	0.5439341679697717	18	present_gold	97.43055555555556	0.5439341679697717	18	18	18	MACROH2A1	variant
ENSG00000113648	MACROH2A1	cortex of kidney	95.056	0.4778388849811189	5	present_gold	95.056	0.4778388849811189	5	5	5	MACROH2A1	variant
ENSG00000113648	MACROH2A1	dorsolateral prefrontal cortex	96.32958333333332	0.3456497242644036	24	present_gold	96.32958333333332	0.3456497242644036	24	24	24	MACROH2A1	variant
ENSG00000113648	MACROH2A1	frontal cortex	95.45846153846152	1.117571267732641	26	present_gold	95.45846153846152	1.117571267732641	26	26	26	MACROH2A1	variant
ENSG00000113648	MACROH2A1	heart	96.154	1.471659898598467	15	present_gold	96.154	1.471659898598467	15	15	15	MACROH2A1	variant
ENSG00000113648	MACROH2A1	hindlimb stylopod muscle	95.565	0.1202081528017142	2	present_gold	95.565	0.1202081528017142	2	2	2	MACROH2A1	variant
ENSG00000113648	MACROH2A1	liver	94.20565217391304	1.8837844551640692	23	present_gold	94.20565217391304	1.8837844551640692	23	23	23	MACROH2A1	variant
ENSG00000113648	MACROH2A1	lung	97.9531818181818	0.4985348663704618	22	present_gold	97.9531818181818	0.4985348663704618	22	22	22	MACROH2A1	variant
ENSG00000113648	MACROH2A1	lymph node	97.60666666666668	0.9004813527589932	6	present_gold	97.60666666666668	0.9004813527589932	6	6	6	MACROH2A1	variant
ENSG00000113648	MACROH2A1	multicellular organism	96.67	0.0	1	present_gold	96.67	0.0	1	1	1	MACROH2A1	variant
ENSG00000113648	MACROH2A1	pituitary gland	97.82857142857142	0.3782928686950024	14	present_gold	97.82857142857142	0.3782928686950024	14	14	14	MACROH2A1	variant
ENSG00000113648	MACROH2A1	prefrontal cortex	96.13	0.7423835486682985	10	present_gold	96.13	0.7423835486682985	10	10	10	MACROH2A1	variant
ENSG00000113648	MACROH2A1	primary visual cortex	95.39888888888888	0.6033540512096589	9	present_gold	95.39888888888888	0.6033540512096589	9	9	9	MACROH2A1	variant
ENSG00000113648	MACROH2A1	skeletal muscle tissue	94.38058823529413	1.8166468788272905	17	present_gold	94.38058823529413	1.8166468788272905	17	17	17	MACROH2A1	variant
ENSG00000113648	MACROH2A1	spleen	97.69	0.1373118547487639	12	present_gold	97.69	0.1373118547487639	12	12	12	MACROH2A1	variant
ENSG00000113648	MACROH2A1	superior frontal gyrus	96.348	1.359102031980432	25	present_gold	96.348	1.359102031980432	25	25	25	MACROH2A1	variant
ENSG00000113648	MACROH2A1	temporal lobe	96.30875	0.1879542117492592	8	present_gold	96.30875	0.1879542117492592	8	8	8	MACROH2A1	variant
ENSG00000113648	MACROH2A1	testis	94.39769230769232	3.592930915576107	13	present_gold	94.39769230769232	3.592930915576107	13	13	13	MACROH2A1	variant
ENSG00000113648	MACROH2A1	thymus	98.9825	0.8935463054593205	4	present_gold	98.9825	0.8935463054593205	4	4	4	MACROH2A1	variant
ENSG00000164032	H2AZ1	Brodmann (1909) area 10	88.93	0.0	1	present_gold	88.93	0.0	1	1	1	H2AZ1	variant
ENSG00000164032	H2AZ1	adult mammalian kidney	96.835	1.9303277920123785	14	present_gold	96.835	1.9303277920123785	14	15	14	H2AZ1	variant
ENSG00000164032	H2AZ1	bone marrow	99.54785714285715	0.1594788904009458	14	present_gold	99.54785714285715	0.1594788904009458	14	14	14	H2AZ1	variant
ENSG00000164032	H2AZ1	cerebellar cortex	98.58	0.1777638883463139	3	present_gold	98.58	0.1777638883463139	3	3	3	H2AZ1	variant
ENSG00000164032	H2AZ1	cerebellum	98.07235294117648	0.8528154065488371	17	present_gold	98.07235294117648	0.8528154065488371	17	17	17	H2AZ1	variant
ENSG00000164032	H2AZ1	cerebral cortex	98.171	0.7585138979170578	10	present_gold	98.171	0.7585138979170578	10	10	10	H2AZ1	variant
ENSG00000164032	H2AZ1	colon	98.65944444444445	0.4462717745186506	18	present_gold	98.65944444444445	0.4462717745186506	18	18	18	H2AZ1	variant
ENSG00000164032	H2AZ1	cortex of kidney	96.036	2.726752647381132	5	present_gold	96.036	2.726752647381132	5	5	5	H2AZ1	variant
ENSG00000164032	H2AZ1	dorsolateral prefrontal cortex	98.31166666666668	0.3909927906225905	24	present_gold	98.31166666666668	0.3909927906225905	24	24	24	H2AZ1	variant
ENSG00000164032	H2AZ1	frontal cortex	97.52807692307692	1.3104656248243032	26	present_gold	97.52807692307692	1.3104656248243032	26	26	26	H2AZ1	variant
ENSG00000164032	H2AZ1	heart	97.57625	0.8249757572195701	16	present_gold	97.57625	0.8249757572195701	16	16	16	H2AZ1	variant
ENSG00000164032	H2AZ1	hindlimb stylopod muscle	96.49	0.2687005768508949	2	present_gold	96.49	0.2687005768508949	2	2	2	H2AZ1	variant
ENSG00000164032	H2AZ1	liver	95.57260869565218	2.0483257406772366	23	present_gold	95.57260869565218	2.0483257406772366	23	23	23	H2AZ1	variant
ENSG00000164032	H2AZ1	lung	98.17636363636365	0.5853574036802559	22	present_gold	98.17636363636365	0.5853574036802559	22	22	22	H2AZ1	variant
ENSG00000164032	H2AZ1	lymph node	98.35166666666667	0.85401209983622	6	present_gold	98.35166666666667	0.85401209983622	6	6	6	H2AZ1	variant
ENSG00000164032	H2AZ1	multicellular organism	98.215	0.4596194077712599	2	present_gold	98.215	0.4596194077712599	2	2	2	H2AZ1	variant
ENSG00000164032	H2AZ1	pituitary gland	98.4723076923077	0.2846387724278457	13	present_gold	98.4723076923077	0.2846387724278457	13	13	13	H2AZ1	variant
ENSG00000164032	H2AZ1	prefrontal cortex	97.592	1.2618663426316856	10	present_gold	97.592	1.2618663426316856	10	10	10	H2AZ1	variant
ENSG00000164032	H2AZ1	primary visual cortex	97.86333333333332	1.0070129095498217	9	present_gold	97.86333333333332	1.0070129095498217	9	9	9	H2AZ1	variant
ENSG00000164032	H2AZ1	skeletal muscle tissue	96.186875	0.8768786974262742	16	present_gold	96.186875	0.8768786974262742	16	16	16	H2AZ1	variant
ENSG00000164032	H2AZ1	spleen	98.73666666666666	0.1130835036063127	12	present_gold	98.73666666666666	0.1130835036063127	12	12	12	H2AZ1	variant
ENSG00000164032	H2AZ1	superior frontal gyrus	97.6476	0.8753155621450667	25	present_gold	97.6476	0.8753155621450667	25	25	25	H2AZ1	variant
ENSG00000164032	H2AZ1	temporal lobe	96.77	1.1390095948423151	8	present_gold	96.77	1.1390095948423151	8	8	8	H2AZ1	variant
ENSG00000164032	H2AZ1	testis	98.53307692307692	0.6403434575208379	13	present_gold	98.53307692307692	0.6403434575208379	13	13	13	H2AZ1	variant
ENSG00000164032	H2AZ1	thymus	99.5725	0.3493207694941755	4	present_gold	99.5725	0.3493207694941755	4	4	4	H2AZ1	variant
ENSG00000164508	H2AC1	adult mammalian kidney	46.895	9.356721113723546	6	present_gold	46.895	9.356721113723546	6	11	6	H2AC1	clustered
ENSG00000164508	H2AC1	bone marrow	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0	H2AC1	clustered
ENSG00000164508	H2AC1	cerebellar cortex	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0	H2AC1	clustered
