gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,spleen,46.14,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,46.14,46.14
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,stomach,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,temporal lobe,32.3,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,32.3,32.3
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,testis,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,thymus,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,thyroid gland,41.33,0.0,1,present_gold,H2AC16:VGNC:83727,clustered,41.33,41.33
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,tongue,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,urinary bladder,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000047415,zone of skin,0.0,0.0,0,observed_zero,H2AC16:VGNC:83727,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,adult mammalian kidney,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,articular cartilage of joint,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,blood,43.1825,5.823357422197841,4,present_gold,H2AC16:VGNC:83794,clustered,43.1825,43.1825
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,bone marrow,66.21,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,66.21,66.21
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,brainstem,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,cerebellum,48.42,2.7111067850603003,3,present_gold,H2AC16:VGNC:83794,clustered,48.42,48.42
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,chorionic villus,40.23,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,40.23,40.23
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,embryo,49.97,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,49.97,49.97
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,endometrium,57.18,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,57.18,57.18
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,epithelium of bronchus,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,gluteus medius,40.473333333333336,5.909402113017301,3,present_gold,H2AC16:VGNC:83794,clustered,40.473333333333336,40.473333333333336
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,inner cell mass,72.215,3.867874093090414,2,present_gold,H2AC16:VGNC:83794,clustered,72.215,72.215
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,leukocyte,47.57,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,47.57,47.57
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,liver,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,multicellular organism,33.18,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,33.18,33.18
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,muscle tissue,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,oviduct epithelium,48.92,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,48.92,48.92
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,prefrontal cortex,31.51,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,31.51,31.51
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,retina,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,spinal cord,36.315,1.0253048327204908,2,present_gold,H2AC16:VGNC:83794,clustered,36.315,36.315
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,synovial membrane of synovial joint,40.61,0.0,1,present_gold,H2AC16:VGNC:83794,clustered,40.61,40.61
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,testis,33.375,13.90879038593939,2,present_gold,H2AC16:VGNC:83794,clustered,33.375,33.375
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,triceps brachii,0.0,0.0,0,observed_zero,H2AC16:VGNC:83794,clustered,0.0,0.0
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,trophectoderm,75.17,4.638620484583753,2,present_gold,H2AC16:VGNC:83794,clustered,75.17,75.17
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,trophoblast,53.4,11.600866346958748,3,present_gold,H2AC16:VGNC:83794,clustered,53.4,53.4
H2AC16,equus_caballus,Equus caballus,ENSECAG00000040805,zone of skin,33.92,6.731656556895932,2,present_gold,H2AC16:VGNC:83794,clustered,33.92,33.92
H2AC16,human,Homo sapiens,ENSG00000276903,Ammon's horn,37.49,15.443212101114195,2,present_gold,H2AC16:HGNC:4730,clustered,37.49,37.49
H2AC16,human,Homo sapiens,ENSG00000276903,Brodmann (1909) area 10,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,Brodmann (1909) area 9,24.27,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,24.27,24.27
H2AC16,human,Homo sapiens,ENSG00000276903,C1 segment of cervical spinal cord,46.35,12.688857879482862,8,present_gold,H2AC16:HGNC:4730,clustered,46.35,46.35
H2AC16,human,Homo sapiens,ENSG00000276903,adenohypophysis,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,adipose tissue,29.055,0.9263098833543788,2,present_gold,H2AC16:HGNC:4730,clustered,29.055,29.055
H2AC16,human,Homo sapiens,ENSG00000276903,adrenal gland,39.07,3.012274887854696,2,present_gold,H2AC16:HGNC:4730,clustered,39.07,39.07
H2AC16,human,Homo sapiens,ENSG00000276903,adrenal tissue,88.45333333333333,1.9825824909277647,3,present_gold,H2AC16:HGNC:4730,clustered,88.45333333333333,88.45333333333333
H2AC16,human,Homo sapiens,ENSG00000276903,adult mammalian kidney,46.96,24.310331137193508,2,present_gold,H2AC16:HGNC:4730,clustered,46.96,46.96
H2AC16,human,Homo sapiens,ENSG00000276903,amygdala,24.565,3.2031937187750583,2,present_gold,H2AC16:HGNC:4730,clustered,24.565,24.565
H2AC16,human,Homo sapiens,ENSG00000276903,anterior cingulate cortex,25.19666666666667,2.4857661461475686,3,present_gold,H2AC16:HGNC:4730,clustered,25.19666666666667,25.19666666666667
H2AC16,human,Homo sapiens,ENSG00000276903,apex of heart,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,ascending aorta,33.12666666666667,2.3987983102656494,3,present_gold,H2AC16:HGNC:4730,clustered,33.12666666666667,33.12666666666667
H2AC16,human,Homo sapiens,ENSG00000276903,blood,63.15111111111111,4.266910838601524,18,present_gold,H2AC16:HGNC:4730,clustered,63.15111111111111,63.15111111111111
H2AC16,human,Homo sapiens,ENSG00000276903,body of pancreas,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,body of stomach,34.14222222222222,6.864739211684916,9,present_gold,H2AC16:HGNC:4730,clustered,34.14222222222222,34.14222222222222
H2AC16,human,Homo sapiens,ENSG00000276903,body of uterus,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,bone marrow,80.67500000000001,8.87419010389117,2,present_gold,H2AC16:HGNC:4730,clustered,80.67500000000001,80.67500000000001
H2AC16,human,Homo sapiens,ENSG00000276903,bone marrow cell,98.29,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,98.29,98.29
H2AC16,human,Homo sapiens,ENSG00000276903,brain,32.307500000000005,13.276368416601482,4,present_gold,H2AC16:HGNC:4730,clustered,32.307500000000005,32.307500000000005
H2AC16,human,Homo sapiens,ENSG00000276903,calcaneal tendon,66.438,10.04000846613189,5,present_gold,H2AC16:HGNC:4730,clustered,66.438,66.438
H2AC16,human,Homo sapiens,ENSG00000276903,caudate nucleus,31.473333333333333,2.78072532504261,3,present_gold,H2AC16:HGNC:4730,clustered,31.473333333333333,31.473333333333333
H2AC16,human,Homo sapiens,ENSG00000276903,central nervous system,27.07,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,27.07,27.07
H2AC16,human,Homo sapiens,ENSG00000276903,cerebellar cortex,25.56,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,25.56,25.56
H2AC16,human,Homo sapiens,ENSG00000276903,cerebellar hemisphere,29.1,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,29.1,29.1
H2AC16,human,Homo sapiens,ENSG00000276903,cerebellar vermis,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,cerebellum,28.92,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,28.92,28.92
H2AC16,human,Homo sapiens,ENSG00000276903,cerebral cortex,27.595,0.2757716446627539,2,present_gold,H2AC16:HGNC:4730,clustered,27.595,27.595
H2AC16,human,Homo sapiens,ENSG00000276903,colon,54.05111111111111,32.10706520551374,9,present_gold,H2AC16:HGNC:4730,clustered,54.05111111111111,54.05111111111111
H2AC16,human,Homo sapiens,ENSG00000276903,colonic epithelium,71.58,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,71.58,71.58
H2AC16,human,Homo sapiens,ENSG00000276903,corpus callosum,54.935,3.528252636457128,4,present_gold,H2AC16:HGNC:4730,clustered,54.935,54.935
H2AC16,human,Homo sapiens,ENSG00000276903,cortex of kidney,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,cortical plate,48.79,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,48.79,48.79
H2AC16,human,Homo sapiens,ENSG00000276903,descending thoracic aorta,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,dorsal plus ventral thalamus,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,dorsal root ganglion,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,dorsolateral prefrontal cortex,25.21,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,25.21,25.21
H2AC16,human,Homo sapiens,ENSG00000276903,duodenum,36.32,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,36.32,36.32
H2AC16,human,Homo sapiens,ENSG00000276903,ectocervix,50.1,0.0424264068711944,2,present_gold,H2AC16:HGNC:4730,clustered,50.1,50.1
H2AC16,human,Homo sapiens,ENSG00000276903,endocervix,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,endometrium,32.4,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,32.4,32.4
H2AC16,human,Homo sapiens,ENSG00000276903,endometrium epithelium,91.16,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,91.16,91.16
H2AC16,human,Homo sapiens,ENSG00000276903,epithelium of bronchus,88.4,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,88.4,88.4
H2AC16,human,Homo sapiens,ENSG00000276903,esophagogastric junction muscularis propria,20.57,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,20.57,20.57
H2AC16,human,Homo sapiens,ENSG00000276903,esophagus,32.76,0.4495182606598608,4,present_gold,H2AC16:HGNC:4730,clustered,32.76,32.76
H2AC16,human,Homo sapiens,ENSG00000276903,esophagus mucosa,42.894,5.031364294768038,10,present_gold,H2AC16:HGNC:4730,clustered,42.894,42.894
H2AC16,human,Homo sapiens,ENSG00000276903,frontal cortex,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,frontal pole,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,fundus of stomach,0.0,0.0,0,observed_zero,H2AC16:HGNC:4730,clustered,0.0,0.0
H2AC16,human,Homo sapiens,ENSG00000276903,gall bladder,34.66,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,34.66,34.66
H2AC16,human,Homo sapiens,ENSG00000276903,ganglionic eminence,50.83,1.0606601717798212,2,present_gold,H2AC16:HGNC:4730,clustered,50.83,50.83
H2AC16,human,Homo sapiens,ENSG00000276903,gastrocnemius,26.17,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,26.17,26.17
H2AC16,human,Homo sapiens,ENSG00000276903,granulocyte,58.21,0.0,1,present_gold,H2AC16:HGNC:4730,clustered,58.21,58.21
H2AC16,human,Homo sapiens,ENSG00000276903,heart,61.928,32.43043740068888,5,present_gold,H2AC16:HGNC:4730,clustered,61.928,61.928
