gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,lymph node,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,mammary gland,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,metanephros cortex,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,mitral valve,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,mucosa of urinary bladder,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,nose,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,occipital cortex,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,occipital lobe,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,olfactory bulb,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,ovary,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,pancreas,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,pituitary gland,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,placenta,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,prefrontal cortex,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,renal medulla,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,retina,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,right cardiac atrium,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,saliva-secreting gland,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,skeletal muscle tissue,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,small intestine,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,smooth muscle tissue,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,spinal cord,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,spleen,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,stomach,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,temporal lobe,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,testis,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,thymus,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,thyroid gland,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,tongue,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,urinary bladder,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000028471,zone of skin,0.0,0.0,0,observed_zero,H2AB3:VGNC:83746,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,adult mammalian kidney,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,articular cartilage of joint,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,blood,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,bone marrow,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
H2AB3,equus_caballus,Equus caballus,ENSECAG00000029871,brainstem,0.0,0.0,0,observed_zero,H2AB3:VGNC:83789,variant,0.0,0.0
