tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human
smooth muscle tissue,,36.08,,,
spinal cord,,,52.90375,,
spiral colon,95.58,,,,
substantia nigra,,,,,41.16571428571428
theca cell,53.09,,,,
thoracic aorta,,,,,33.73666666666667
thoracic mammary gland,,,,,41.66857142857143
thymus,61.08,,,,
tibial artery,,,,,38.26166666666666
tibial nerve,,,,,37.27
tip of external ear,,,,45.65,
tonsil,,,,,55.24666666666667
trachea,44.8,,,,
transverse colon,,,,,37.196999999999996
triceps brachii,,,26.98,,
trophectoderm,,,79.07,,
trophoblast,,,38.08,,
upper lobe of left lung,,,,,45.27333333333333
ureter,44.995000000000005,,,,
urethra,51.365,,,,
uterine tube infundibulum,60.480000000000004,,,,
uterus,39.60999999999999,,,,
vagina,,,,,61.592
vas deferens,52.85,,,,
ventricular zone,,,,,57.355
vermiform appendix,,,,,37.26
