gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC17,clustered,testis,high_confidence,4,58.79333333333332,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,85.96,felis_catus,Felis catus,27.166666666666668,58.79333333333332
H2AC21,clustered,colon,high_confidence,5,64.365,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,95.985,bos_taurus,Bos taurus,37.27,58.714999999999996
H2AC21,clustered,cerebellum,high_confidence,5,58.7,equus_caballus,Equus caballus,human,Homo sapiens,equus_caballus,Equus caballus,93.465,human,Homo sapiens,34.765,58.7
H2AC6,clustered,prefrontal cortex,high_confidence,6,68.39111111111113,human,Homo sapiens,felis_catus,Felis catus,macaca_mulatta,Macaca mulatta,71.87,felis_catus,Felis catus,13.49,58.38
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,81.945,canis_lupus_familiaris,Canis lupus familiaris,23.59,58.35499999999999
H2AC21,clustered,cerebellum,high_confidence,5,58.7,equus_caballus,Equus caballus,human,Homo sapiens,sus_scrofa,Sus scrofa,92.67500000000001,human,Homo sapiens,34.765,57.91000000000001
H2AC14,clustered,cerebral cortex,high_confidence,4,59.2,sus_scrofa,Sus scrofa,human,Homo sapiens,sus_scrofa,Sus scrofa,82.47,pan_troglodytes,Pan troglodytes,25.39,57.08
H2AC20,clustered,prefrontal cortex,high_confidence,4,56.2825,macaca_mulatta,Macaca mulatta,felis_catus,Felis catus,macaca_mulatta,Macaca mulatta,68.9725,felis_catus,Felis catus,12.69,56.2825
H2AC21,clustered,cerebral cortex,high_confidence,5,65.45,sus_scrofa,Sus scrofa,pan_troglodytes,Pan troglodytes,sus_scrofa,Sus scrofa,92.69,bos_taurus,Bos taurus,37.75,54.94
H2AC20,clustered,testis,high_confidence,5,54.83666666666667,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,macaca_mulatta,Macaca mulatta,97.04,equus_caballus,Equus caballus,42.20333333333333,54.83666666666667
H2AC11,clustered,testis,high_confidence,6,54.6725,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,86.02,canis_lupus_familiaris,Canis lupus familiaris,31.3475,54.6725
H2AC6,clustered,cerebellum,high_confidence,6,54.21416666666667,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,97.8075,bos_taurus,Bos taurus,43.593333333333334,54.21416666666667
H2AC8,clustered,brain,conservative,4,54.01500000000001,felis_catus,Felis catus,bos_taurus,Bos taurus,felis_catus,Felis catus,91.86500000000001,bos_taurus,Bos taurus,37.85,54.01500000000001
H2AC14,clustered,colon,conservative,4,53.85999999999999,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,96.47999999999999,macaca_mulatta,Macaca mulatta,42.62,53.85999999999999
H2AC14,clustered,brain,high_confidence,5,60.47,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,felis_catus,Felis catus,76.52,human,Homo sapiens,22.680000000000003,53.83999999999999
H2AC21,clustered,testis,conservative,4,53.80333333333333,sus_scrofa,Sus scrofa,equus_caballus,Equus caballus,sus_scrofa,Sus scrofa,87.49,equus_caballus,Equus caballus,33.68666666666667,53.80333333333333
H2AC21,clustered,cerebellum,high_confidence,5,58.7,equus_caballus,Equus caballus,human,Homo sapiens,equus_caballus,Equus caballus,93.465,pan_troglodytes,Pan troglodytes,40.22,53.245000000000005
H2AC13,clustered,bone marrow,conservative,5,53.120000000000005,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,equus_caballus,Equus caballus,93.62,canis_lupus_familiaris,Canis lupus familiaris,40.5,53.120000000000005
H2AC25,clustered,ovary,conservative,4,53.07333333333334,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.82333333333334,canis_lupus_familiaris,Canis lupus familiaris,41.75,53.07333333333334
H2AC25,clustered,hypothalamus,conservative,4,53.00124999999999,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,81.35125,canis_lupus_familiaris,Canis lupus familiaris,28.35,53.00124999999999
H2AC13,clustered,cerebellum,conservative,4,52.572500000000005,equus_caballus,Equus caballus,human,Homo sapiens,equus_caballus,Equus caballus,79.89750000000001,human,Homo sapiens,27.325,52.572500000000005
H2AC21,clustered,cerebellum,high_confidence,5,58.7,equus_caballus,Equus caballus,human,Homo sapiens,sus_scrofa,Sus scrofa,92.67500000000001,pan_troglodytes,Pan troglodytes,40.22,52.45500000000001
H2AC14,clustered,colon,conservative,4,53.85999999999999,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,96.47999999999999,bos_taurus,Bos taurus,44.03,52.44999999999999
H2AC25,clustered,colon,conservative,4,51.99000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,92.15,canis_lupus_familiaris,Canis lupus familiaris,40.16,51.99000000000001
H2AC6,clustered,spleen,high_confidence,6,65.41,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,macaca_mulatta,Macaca mulatta,82.955,felis_catus,Felis catus,31.04,51.915
H2AC25,clustered,cerebral cortex,conservative,5,51.135000000000005,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.01,canis_lupus_familiaris,Canis lupus familiaris,42.875,51.135000000000005
H2AC19,clustered,bone marrow,high_confidence,4,68.0,pan_troglodytes,Pan troglodytes,equus_caballus,Equus caballus,human,Homo sapiens,82.56,equus_caballus,Equus caballus,31.75,50.81
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,74.38,canis_lupus_familiaris,Canis lupus familiaris,23.59,50.78999999999999
H2AC7,clustered,bone marrow,conservative,4,50.4,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,equus_caballus,Equus caballus,88.72,canis_lupus_familiaris,Canis lupus familiaris,38.32,50.4
H2AC19,clustered,testis,conservative,4,50.38666666666666,human,Homo sapiens,bos_taurus,Bos taurus,human,Homo sapiens,96.25,bos_taurus,Bos taurus,45.86333333333334,50.38666666666666
H2AC17,clustered,testis,high_confidence,4,58.79333333333332,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,85.96,canis_lupus_familiaris,Canis lupus familiaris,35.803333333333335,50.15666666666666
H2AC19,clustered,testis,conservative,4,50.38666666666666,human,Homo sapiens,bos_taurus,Bos taurus,pan_troglodytes,Pan troglodytes,95.82,bos_taurus,Bos taurus,45.86333333333334,49.956666666666656
H2AC20,clustered,testis,high_confidence,5,54.83666666666667,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,macaca_mulatta,Macaca mulatta,97.04,human,Homo sapiens,47.2325,49.807500000000005
H2AC8,clustered,brain,conservative,4,54.01500000000001,felis_catus,Felis catus,bos_taurus,Bos taurus,felis_catus,Felis catus,91.86500000000001,macaca_mulatta,Macaca mulatta,42.3675,49.49750000000001
H2AC6,clustered,adult mammalian kidney,high_confidence,7,64.89833333333334,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,macaca_mulatta,Macaca mulatta,75.36,felis_catus,Felis catus,26.035,49.325
H2AX,variant,adipose tissue,conservative,5,48.96000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,89.62,canis_lupus_familiaris,Canis lupus familiaris,40.66,48.96000000000001
H2AC20,clustered,liver,conservative,4,48.885714285714286,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,macaca_mulatta,Macaca mulatta,91.80571428571429,equus_caballus,Equus caballus,42.92,48.885714285714286
H2AC6,clustered,testis,conservative,7,48.306666666666665,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,81.27,felis_catus,Felis catus,32.96333333333333,48.306666666666665
H2AC20,clustered,testis,high_confidence,5,54.83666666666667,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,macaca_mulatta,Macaca mulatta,97.04,bos_taurus,Bos taurus,48.7625,48.2775
MACROH2A2,variant,zone of skin,conservative,5,48.07000000000001,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,78.57000000000001,felis_catus,Felis catus,30.5,48.07000000000001
H2AC14,clustered,testis,high_confidence,5,81.27,sus_scrofa,Sus scrofa,felis_catus,Felis catus,macaca_mulatta,Macaca mulatta,60.586666666666666,felis_catus,Felis catus,12.78,47.806666666666665
H2AC25,clustered,cerebral cortex,conservative,5,51.135000000000005,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.01,bos_taurus,Bos taurus,46.245000000000005,47.765
H2AC6,clustered,testis,conservative,7,48.306666666666665,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,81.27,equus_caballus,Equus caballus,33.83,47.44
H2AC21,clustered,cerebellum,high_confidence,5,58.7,equus_caballus,Equus caballus,human,Homo sapiens,equus_caballus,Equus caballus,93.465,macaca_mulatta,Macaca mulatta,46.506,46.959
H2AC6,clustered,prefrontal cortex,high_confidence,6,68.39111111111113,human,Homo sapiens,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,60.07,felis_catus,Felis catus,13.49,46.58
H2AC21,clustered,cerebellum,high_confidence,5,58.7,equus_caballus,Equus caballus,human,Homo sapiens,sus_scrofa,Sus scrofa,92.67500000000001,macaca_mulatta,Macaca mulatta,46.506,46.16900000000001
