gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10,class_specific_low_level,class_specific_low_threshold
H2AC1,brain,clustered,7,6,4.26,0.0,10.434826304256339,0.0,25.56,25.56,mus_musculus,Mus musculus,25.56,bos_taurus,Bos taurus,0.0,True,False,False,background,background,False,False,p10,25.56
H2AZ1,thymus,variant,8,4,98.983125,99.00999999999999,0.575504760333629,98.34,99.5725,1.2325000000000017,human,Homo sapiens,99.5725,pan_troglodytes,Pan troglodytes,98.34,True,False,False,background,p10,True,True,p05,2.9035000000000073
H2AJ,metanephros cortex,variant,8,4,96.9825,97.04249999999999,0.6546054791501018,96.14,97.705,1.5649999999999977,human,Homo sapiens,97.705,bos_taurus,Bos taurus,96.14,True,False,False,background,p10,True,True,p05,2.9035000000000073
H2AZ1,frontal cortex,variant,8,6,96.9728144078144,97.25999999999999,0.7772342824037527,95.65714285714286,97.695,2.037857142857135,pan_troglodytes,Pan troglodytes,97.695,sus_scrofa,Sus scrofa,95.65714285714286,True,False,False,background,p10,True,True,p05,2.9035000000000073
H2AZ1,spleen,variant,8,7,97.28777551020407,96.928,0.8638517983365244,96.28142857142858,98.73666666666666,2.4552380952380872,human,Homo sapiens,98.73666666666666,sus_scrofa,Sus scrofa,96.28142857142858,True,False,False,background,p10,True,True,p05,2.9035000000000073
H2AZ1,blood,variant,8,5,96.87774358974359,96.47,1.097572217749493,95.69666666666666,98.18538461538462,2.4887179487179623,human,Homo sapiens,98.18538461538462,equus_caballus,Equus caballus,95.69666666666666,True,False,False,background,p10,True,True,p05,2.9035000000000073
H2AZ1,Ammon's horn,variant,8,4,96.84385416666667,97.25770833333334,1.1728128469446155,95.12,97.74,2.6199999999999903,macaca_mulatta,Macaca mulatta,97.74,bos_taurus,Bos taurus,95.12,True,False,False,background,p10,True,True,p05,2.9035000000000073
H2AZ1,cortex of kidney,variant,8,4,95.01650000000001,95.253,1.2756837382360906,93.47,96.09,2.6200000000000045,macaca_mulatta,Macaca mulatta,96.09,bos_taurus,Bos taurus,93.47,True,False,False,background,p10,True,True,p05,2.9035000000000073
MACROH2A1,retina,variant,8,4,95.5175,95.245,1.230863518023011,94.39,97.19,2.799999999999997,human,Homo sapiens,97.19,bos_taurus,Bos taurus,94.39,True,False,False,background,p10,True,True,p05,2.9035000000000073
H2AZ1,lymph node,variant,8,5,97.04233333333335,97.16,1.2973089668832003,95.48,98.35166666666667,2.8716666666666697,human,Homo sapiens,98.35166666666667,pan_troglodytes,Pan troglodytes,95.48,True,False,False,background,p10,True,True,p05,2.9035000000000073
MACROH2A1,kidney,variant,8,5,94.68533333333333,94.64666666666666,1.1868412792880985,92.97,95.87,2.9000000000000057,macaca_mulatta,Macaca mulatta,95.87,bos_taurus,Bos taurus,92.97,True,False,False,background,p10,True,True,p05,2.9035000000000073
