subset_label	rank_within_subset	gene_order	gene_number	canonical_gene_name	ensembl_gene_id	hpa_gene_label	bgee_gene_label	tissue_order	tissue_letter	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	nTPM	cell_mean_score	log_hpa	log_bgee	signed_diff_log	abs_diff_log	signed_diff_raw	abs_diff_raw	dominance_label	pair_status
overall	11	16	16	H2AC21	ENSG00000184270	H2AC21	H2AC21	23	W	stomach	stomach	stomach	exact	False	0.1	64.11749999999999	0.04139268515822508	1.8136977187078285	-1.7723050335496033	1.7723050335496033	-64.0175	64.0175	bgee_higher	nonzero_any
overall	12	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	23	W	stomach	stomach	stomach	exact	False	0.1	61.88666666666666	0.04139268515822508	1.7985585753830409	-1.7571658902248157	1.7571658902248157	-61.78666666666666	61.78666666666666	bgee_higher	nonzero_any
overall	13	9	9	H2AC14	ENSG00000276368	H2AC14	H2AC14	23	W	stomach	stomach	stomach	exact	False	0.1	61.16166666666667	0.04139268515822508	1.7935226501691917	-1.7521299650109665	1.7521299650109665	-61.06166666666667	61.06166666666667	bgee_higher	nonzero_any
overall	14	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	14	N	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0	55.17	0.0	1.7495044238761424	-1.7495044238761424	1.7495044238761424	-55.17	55.17	bgee_higher	nonzero_any
overall	15	8	8	H2AC13	ENSG00000196747	H2AC13	H2AC13	23	W	stomach	stomach	stomach	exact	False	0.2	65.09083333333334	0.07918124604762482	1.8201412278847526	-1.7409599818371277	1.7409599818371277	-64.89083333333333	64.89083333333333	bgee_higher	nonzero_any
overall	16	9	9	H2AC14	ENSG00000276368	H2AC14	H2AC14	13	M	lung	lung	lung	exact	False	0.1	59.012857142857136	0.04139268515822508	1.778244303517286	-1.7368516183590608	1.7368516183590608	-58.912857142857135	58.912857142857135	bgee_higher	nonzero_any
overall	17	16	16	H2AC21	ENSG00000184270	H2AC21	H2AC21	13	M	lung	lung	lung	exact	False	0.2	63.71428571428572	0.07918124604762482	1.8110001619985752	-1.7318189159509503	1.7318189159509503	-63.51428571428572	63.51428571428572	bgee_higher	nonzero_any
overall	18	6	6	H2AC11	ENSG00000196787	H2AC11	H2AC11	11	K	kidney	kidney	kidney	exact	False	0.2	63.52	0.07918124604762482	1.809694358716924	-1.7305131126692992	1.7305131126692992	-63.32	63.32	bgee_higher	nonzero_any
overall	19	2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	23	W	stomach	stomach	stomach	exact	False	0.1	58.10583333333333	0.04139268515822508	1.7716303448315087	-1.7302376596732836	1.7302376596732836	-58.00583333333333	58.00583333333333	bgee_higher	nonzero_any
overall	20	7	7	H2AC12	ENSG00000274997	H2AC12	H2AC12	13	M	lung	lung	lung	exact	False	0.2	63.09666666666666	0.07918124604762482	1.8068354447151562	-1.7276541986675313	1.7276541986675313	-62.896666666666654	62.896666666666654	bgee_higher	nonzero_any
hpa_higher	1	5	5	H2AC8	ENSG00000277075	H2AC8	H2AC8	32	AF	myocardium	heart muscle	myocardium	safe_synonym	True	4.0	0.0	0.6989700043360189	0.0	0.6989700043360189	0.6989700043360189	4.0	4.0	hpa_higher	nonzero_any
hpa_higher	2	10	10	H2AC15	ENSG00000275221	H2AC15	H2AC15	35	AI	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.8	0.0	0.25527250510330607	0.0	0.25527250510330607	0.25527250510330607	0.8	0.8	hpa_higher	nonzero_any
hpa_higher	3	6	6	H2AC11	ENSG00000196787	H2AC11	H2AC11	32	AF	myocardium	heart muscle	myocardium	safe_synonym	True	0.2	0.0	0.07918124604762482	0.0	0.07918124604762482	0.07918124604762482	0.2	0.2	hpa_higher	nonzero_any
hpa_higher	4	5	5	H2AC8	ENSG00000277075	H2AC8	H2AC8	35	AI	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.2	0.0	0.07918124604762482	0.0	0.07918124604762482	0.07918124604762482	0.2	0.2	hpa_higher	nonzero_any
hpa_higher	5	6	6	H2AC11	ENSG00000196787	H2AC11	H2AC11	34	AH	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.1	0.0	0.04139268515822508	0.0	0.04139268515822508	0.04139268515822508	0.1	0.1	hpa_higher	nonzero_any
hpa_higher	6	6	6	H2AC11	ENSG00000196787	H2AC11	H2AC11	35	AI	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.1	0.0	0.04139268515822508	0.0	0.04139268515822508	0.04139268515822508	0.1	0.1	hpa_higher	nonzero_any
hpa_higher	7	7	7	H2AC12	ENSG00000274997	H2AC12	H2AC12	3	C	amygdala	amygdala	amygdala	exact	False	0.1	0.0	0.04139268515822508	0.0	0.04139268515822508	0.04139268515822508	0.1	0.1	hpa_higher	nonzero_any
hpa_higher	8	7	7	H2AC12	ENSG00000274997	H2AC12	H2AC12	34	AH	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.1	0.0	0.04139268515822508	0.0	0.04139268515822508	0.04139268515822508	0.1	0.1	hpa_higher	nonzero_any
bgee_higher	1	9	9	H2AC14	ENSG00000276368	H2AC14	H2AC14	11	K	kidney	kidney	kidney	exact	False	0.0	81.15	0.0	1.9146075677710805	-1.9146075677710805	1.9146075677710805	-81.15	81.15	bgee_higher	nonzero_any
bgee_higher	2	7	7	H2AC12	ENSG00000274997	H2AC12	H2AC12	11	K	kidney	kidney	kidney	exact	False	0.0	79.3925	0.0	1.9052155343138024	-1.9052155343138024	1.9052155343138024	-79.3925	79.3925	bgee_higher	nonzero_any
bgee_higher	3	16	16	H2AC21	ENSG00000184270	H2AC21	H2AC21	11	K	kidney	kidney	kidney	exact	False	0.1	83.64	0.04139268515822508	1.9275756546911105	-1.8861829695328853	1.8861829695328853	-83.54	83.54	bgee_higher	nonzero_any
bgee_higher	4	8	8	H2AC13	ENSG00000196747	H2AC13	H2AC13	11	K	kidney	kidney	kidney	exact	False	0.1	82.935	0.04139268515822508	1.9239430947648513	-1.8825504096066261	1.8825504096066261	-82.83500000000001	82.83500000000001	bgee_higher	nonzero_any
bgee_higher	5	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	11	K	kidney	kidney	kidney	exact	False	0.1	79.455	0.04139268515822508	1.90555303917381	-1.8641603540155849	1.8641603540155849	-79.355	79.355	bgee_higher	nonzero_any
bgee_higher	6	11	11	H2AC16	ENSG00000276903	H2AC16	H2AC16	33	AG	prostate gland	prostate	prostate gland	safe_synonym	True	0.0	71.229	0.0	1.858711602157976	-1.858711602157976	1.858711602157976	-71.229	71.229	bgee_higher	nonzero_any
bgee_higher	7	12	12	H2AC17	ENSG00000278677	H2AC17	H2AC17	11	K	kidney	kidney	kidney	exact	False	0.2	82.89	0.07918124604762482	1.9237101943965629	-1.844528948348938	1.844528948348938	-82.69	82.69	bgee_higher	nonzero_any
bgee_higher	8	6	6	H2AC11	ENSG00000196787	H2AC11	H2AC11	15	O	ovary	ovary	ovary	exact	False	0.1	75.20599999999999	0.04139268515822508	1.8819891664092534	-1.8405964812510283	1.8405964812510283	-75.106	75.106	bgee_higher	nonzero_any
bgee_higher	9	2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	11	K	kidney	kidney	kidney	exact	False	0.0	64.16333333333334	0.0	1.8140032918925528	-1.8140032918925528	1.8140032918925528	-64.16333333333334	64.16333333333334	bgee_higher	nonzero_any
