species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	species_order	species_dir	species_name	cell_mean_score	cell_std_score	cell_n	cell_status	expression_score	plot_order
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	frontal cortex	H2AC12:frontal cortex	clustered	H2AC12:HGNC:13671	2	G	2:G	1	human	Homo sapiens	28.43	0.0	1	present_gold	28.43	26
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	frontal cortex	H2AC12:frontal cortex	clustered	H2AC12:HGNC:13671	2	G	2:G	2	bos_taurus	Bos taurus	54.96666666666667	0.8326063495634267	3	present_gold	54.96666666666667	26
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	frontal cortex	H2AC12:frontal cortex	clustered	H2AC12:HGNC:13671	2	G	2:G	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	26
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	frontal cortex	H2AC12:frontal cortex	clustered	H2AC12:HGNC:13671	2	G	2:G	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	26
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	heart	H2AC12:heart	clustered	H2AC12:HGNC:13671	2	H	2:H	1	human	Homo sapiens	60.04571428571428	27.046149976871543	7	present_gold	60.04571428571428	27
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	heart	H2AC12:heart	clustered	H2AC12:HGNC:13671	2	H	2:H	2	bos_taurus	Bos taurus	33.44333333333333	2.278383930186775	3	present_gold	33.44333333333333	27
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	heart	H2AC12:heart	clustered	H2AC12:HGNC:13671	2	H	2:H	3	canis_lupus_familiaris	Canis lupus familiaris	24.24	0.0	1	present_gold	24.24	27
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	heart	H2AC12:heart	clustered	H2AC12:HGNC:13671	2	H	2:H	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	27
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	hypothalamus	H2AC12:hypothalamus	clustered	H2AC12:HGNC:13671	2	I	2:I	1	human	Homo sapiens	36.465	16.567511883200808	2	present_gold	36.465	28
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	hypothalamus	H2AC12:hypothalamus	clustered	H2AC12:HGNC:13671	2	I	2:I	2	bos_taurus	Bos taurus	45.73333333333333	1.5951593441826832	3	present_gold	45.73333333333333	28
