display_order	presentation_number	ensembl_gene_id	gene_name	label	class	tissue	cell_mean_score	cell_std_score	cell_n	cell_status
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	leukocyte	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	liver	40.47285714285714	3.997364608029121	7	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	lower esophagus	28.285	1.1950104602052638	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	lower esophagus mucosa	69.03	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	lower esophagus muscularis layer	33.063	6.47611174496961	10	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	lung	24.683333333333334	3.495773638743409	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	lymph node	40.0	1.9233304448274084	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	male germ line stem cell (sensu Vertebrata) in testis	96.98	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	metanephros cortex	48.18	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	minor salivary gland	32.292500000000004	10.99521524724884	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	monocyte	33.48	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	mucosa of stomach	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	mucosa of transverse colon	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	muscle layer of sigmoid colon	33.06777777777778	9.675739994669373	9	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	muscle of leg	36.14	1.6263455967290572	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	muscle tissue	37.24	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	myometrium	38.16833333333333	12.917991200905297	6	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	nucleus accumbens	26.4625	3.903625451636808	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	olfactory segment of nasal mucosa	43.97	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	omental fat pad	29.3125	3.821834824867688	8	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	ovary	31.48	5.570987345166023	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	pancreas	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	pituitary gland	30.766666666666666	11.321144229567375	6	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	placenta	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	popliteal artery	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	prefrontal cortex	38.045	4.890606642670552	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	primary visual cortex	36.61	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	prostate gland	26.331666666666667	5.107404102542373	6	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	putamen	32.760000000000005	7.428539560371204	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	rectum	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right adrenal gland	37.38	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right adrenal gland cortex	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right atrium auricular region	39.0875	8.554991441926084	8	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right coronary artery	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right frontal lobe	29.83666666666667	8.980571622489666	6	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right hemisphere of cerebellum	40.3225	13.772911517419498	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right lobe of liver	50.452	9.851998274461886	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right lobe of thyroid gland	36.84666666666666	0.2853652630109934	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right lung	49.04	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right ovary	32.69	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right testis	59.197500000000005	16.458425147423227	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	right uterine tube	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	saliva-secreting gland	25.09	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	skeletal muscle tissue	44.93	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	skin of abdomen	27.73	2.4917564086402977	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	skin of leg	33.32	7.067179423221119	9	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	small intestine	30.435	0.2899137802864845	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	small intestine Peyer's patch	29.766	3.063156868330449	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	smooth muscle tissue	39.46	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	spleen	29.8425	2.041678231259765	8	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	stomach	28.602	0.6720639850490424	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	stromal cell of endometrium	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	subcutaneous adipose tissue	31.28	5.384081475361729	7	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	substantia nigra	39.036	14.679064343479116	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	superior frontal gyrus	42.26	13.336033893178286	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	sural nerve	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	temporal lobe	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	testis	63.47714285714286	15.518701314098116	7	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	thoracic aorta	31.33	2.702961338976197	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	thoracic mammary gland	31.471666666666664	6.369842750544684	6	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	thyroid gland	29.34375	10.074095404267606	8	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	tibial artery	32.7	4.171690304900402	7	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	tibial nerve	29.54875	5.320779850199188	8	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	tonsil	42.175	11.589480143647515	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	transverse colon	27.951	3.5504473896491784	10	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	upper lobe of left lung	28.814	2.6749448592447664	5	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	urinary bladder	32.45	2.772598059582384	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	uterine cervix	30.56	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	vagina	28.375	0.0777817459305198	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	ventricular zone	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	vermiform appendix	35.46	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	zone of skin	28.955	0.0070710678118665	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	Ammon's horn	40.1625	8.18252100516705	8	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	Brodmann (1909) area 9	42.41166666666667	5.306013255417542	6	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	C1 segment of cervical spinal cord	41.696666666666665	5.278267392494118	6	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	adenohypophysis	43.7975	6.396693807481071	4	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	adipose tissue	38.63	1.03237590053236	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	adrenal gland	40.405	0.4030508652763322	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	adrenal tissue	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	adult mammalian kidney	45.223333333333336	5.884907249339905	3	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	amygdala	38.724	4.950503004746083	5	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	anterior cingulate cortex	32.48	2.059053180469118	3	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	apex of heart	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	ascending aorta	40.897777777777776	5.803123679919673	9	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	blood	50.998666666666665	5.213613864087895	15	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	body of pancreas	35.46	6.420825492099905	4	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	body of stomach	43.105555555555554	9.3536277870021	9	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	body of uterus	40.873333333333335	6.151457821795847	3	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	bone marrow	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	bone marrow cell	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	brain	37.656666666666666	0.1680277754817171	3	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	calcaneal tendon	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	caudate nucleus	40.4025	7.14630124110168	8	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	cerebellar cortex	44.905	2.1142492757477784	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	cerebellar hemisphere	46.9525	3.7226862421029856	8	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	cerebellum	46.365	1.2091525958289968	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	cerebral cortex	35.36	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	colon	42.928333333333335	1.4236069214030471	6	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	colonic epithelium	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	corpus callosum	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	cortex of kidney	38.02	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	cortical plate	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	descending thoracic aorta	48.385	1.9021172413918117	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	dorsolateral prefrontal cortex	36.88833333333333	6.071982927073055	6	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	duodenum	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	ectocervix	45.37	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	endocervix	57.78	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	endometrium	35.655	0.4879036790187162	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	esophagogastric junction muscularis propria	46.12	7.110036568119745	11	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	esophagus	40.38	0.7605699617173091	4	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	esophagus mucosa	37.655	5.525124432987911	8	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	fallopian tube	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	frontal cortex	40.37	11.519392345084876	3	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	fundus of stomach	50.29666666666666	13.3340328983145	3	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	gall bladder	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	ganglionic eminence	46.28	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	gastrocnemius	42.92727272727273	6.5152975233815535	11	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	granulocyte	70.69	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	heart	38.718	5.676642493587209	5	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	heart left ventricle	37.83888888888889	4.362554998061471	9	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	hindlimb stylopod muscle	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	hypothalamus	41.358	10.453158374386184	5	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	intestine	42.48	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	islet of Langerhans	28.96	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	kidney	37.7	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	left adrenal gland	43.12857142857143	6.936366552625443	7	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	left adrenal gland cortex	42.73	6.517075008519287	4	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	left coronary artery	44.95	6.407764820902839	5	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	left lobe of thyroid gland	36.92142857142857	2.489755199287864	7	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	left ovary	44.414	7.160414094170809	5	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	left testis	75.375	6.857978565145854	6	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	left uterine tube	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	leukocyte	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	liver	40.13	3.348545953096658	6	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	lower esophagus	45.825	1.9586857838867389	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	lower esophagus mucosa	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	lower esophagus muscularis layer	47.243	6.334252652576045	10	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	lung	29.903333333333336	6.854212816460643	3	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	lymph node	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	metanephros cortex	44.63	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	minor salivary gland	42.91666666666666	8.55290593891924	9	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	monocyte	43.88	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	mucosa of stomach	53.06	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	mucosa of transverse colon	68.36	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	muscle layer of sigmoid colon	43.09	5.493787400327756	11	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	muscle of leg	44.86	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	myometrium	42.91	3.132826200094733	4	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	nucleus accumbens	41.21	8.441220290929504	7	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	olfactory segment of nasal mucosa	42.48	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	omental fat pad	40.61888888888889	3.366836216852717	9	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	ovary	40.775	1.091192008768393	4	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	pancreas	30.805	0.5868986283848332	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	pituitary gland	40.30714285714286	5.10372319745012	7	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	placenta	0.0	0.0	0	observed_zero
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	popliteal artery	37.23	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	prefrontal cortex	44.06	12.216933603268323	4	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	primary visual cortex	50.870000000000005	3.747665940288705	2	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	primordial germ cell in gonad	82.64	0.0	1	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	prostate gland	37.35	5.12216750995123	7	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	putamen	43.29666666666666	8.54123800550404	6	present_gold
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	rectum	0.0	0.0	0	observed_zero
