display_order	presentation_number	ensembl_gene_id	gene_name	label	class	n_tissues	mean	std	min	q1	median	q3	max	iqr	lower_whisker	upper_whisker	outlier_count
11	12	ENSG00000278677	H2AC17	H2AC17:HGNC:4735	clustered	133	41.8182188240957	21.89093240084735	0.0	34.86	43.045	53.60454545454545	98.69	18.744545454545452	26.13	78.334	25
12	13	ENSG00000203812	H2AC18	H2AC18:HGNC:4736	clustered	133	75.64000318405488	17.02791751358347	0.0	66.31800000000001	80.28	85.495	99.26	19.176999999999992	42.985	99.26	6
13	14	ENSG00000272196	H2AC19	H2AC19:HGNC:29668	clustered	133	83.41784044078312	9.895116117803488	50.58	80.95	86.366	89.14818181818181	99.25	8.198181818181808	70.33	99.25	14
14	15	ENSG00000184260	H2AC20	H2AC20:HGNC:4738	clustered	133	62.12676635874569	15.246667414871839	0.0	54.815	63.37125	68.184	99.582	13.369	41.34	85.69	11
15	16	ENSG00000184270	H2AC21	H2AC21:HGNC:20508	clustered	132	39.14500630493244	21.384717605782452	0.0	33.517500000000005	39.067750000000004	47.329375	97.718	13.811874999999993	28.835	67.00399999999999	30
16	17	ENSG00000181218	H2AC25	H2AC25:HGNC:20507	clustered	133	73.90580544507706	13.087644670118163	0.0	67.44300000000001	75.555	81.9	95.21999999999998	14.456999999999994	48.925	95.21999999999998	2
17	2	ENSG00000278463	H2AC4	H2AC4:HGNC:4734	clustered	251	15.096804469330891	21.99812178990613	0.0	0.0	0.0	32.3	93.17	32.3	0.0	77.605	3
18	3	ENSG00000180573	H2AC6	H2AC6:HGNC:4733	clustered	295	76.16696562049526	24.977066159305203	0.0	77.69780701754385	83.45500000000001	87.49178571428573	99.19	9.793978696741874	65.15666666666667	99.19	27
19	4	ENSG00000196866	H2AC7	H2AC7:HGNC:4729	clustered	133	41.28978283235144	20.94439785653673	0.0	33.11714285714286	40.899	50.01	97.24	16.89285714285714	23.74	73.21	23
20	5	ENSG00000277075	H2AC8	H2AC8:HGNC:4724	clustered	291	37.23496975178877	33.536604642575035	0.0	0.0	55.41	65.67125	96.9	65.67125	0.0	96.9	0
21	21	ENSG00000246705	H2AJ	H2AJ:HGNC:14456	variant	284	79.81146038875967	30.7788074849584	0.0	81.69833333333334	91.7734375	96.70599999999999	99.66	15.007666666666651	59.58	99.66	35
22	22	ENSG00000249467	H2AL1Q	H2AL1Q:HGNC:53959	variant	129	13.28190642303433	19.48191725479964	0.0	0.0	0.0	25.28	92.35833333333332	25.28	0.0	52.995000000000005	3
23	23	ENSG00000229674	H2AL3	H2AL3:HGNC:53960	variant	129	6.599787375415282	15.141875149344543	0.0	0.0	0.0	0.0	65.77	0.0	0.0	0.0	23
24	24	ENSG00000187516	H2AP	H2AP:HGNC:18417	variant	281	5.504551544935887	15.91389069136489	0.0	0.0	0.0	0.0	95.5	0.0	0.0	0.0	39
25	25	ENSG00000188486	H2AX	H2AX:HGNC:4739	variant	292	69.1582957580816	31.557512777366473	0.0	75.67660714285714	81.3490909090909	86.11833333333334	98.905	10.441726190476203	60.83	98.905	49
26	26	ENSG00000164032	H2AZ1	H2AZ1:HGNC:4741	variant	300	97.17614575833439	2.7669062664142574	75.75	96.83875	97.85666666666665	98.57193181818181	99.66875	1.733181818181805	94.29	99.66875	21
27	27	ENSG00000105968	H2AZ2	H2AZ2:HGNC:20664	variant	299	92.92346531476814	12.815960744248935	0.0	93.72874999999999	95.85769230769232	96.64643939393937	99.42	2.9176893939393835	89.4	99.42	31
